user speed delay
1 1 482
1 1 476
1 1 488
1 1 655
1 1 490
1 1 486
1 1 477
1 1 453
1 1 726
1 1 518
1 1 549
1 1 483
1 1 502
1 1 701
1 1 528
1 1 541
1 1 538
1 1 456
1 1 678
1 1 517
1 1 509
1 1 496
1 1 517
1 2 702
1 2 488
1 2 493
1 2 507
1 2 493
1 2 767
1 2 530
1 2 688
1 2 487
1 2 476
1 2 685
1 2 472
1 2 452
1 2 473
1 2 511
1 2 709
1 2 523
1 2 489
1 2 473
1 2 534
1 2 670
1 2 484
1 2 484
1 2 454
1 2 477
1 4 704
1 4 614
1 4 638
1 4 477
1 4 531
1 4 755
1 4 522
1 4 499
1 4 462
1 4 503
1 4 749
1 4 528
1 4 523
1 4 526
1 4 591
1 4 733
1 4 569
1 4 594
1 4 487
1 4 485
1 4 703
1 4 516
1 4 603
1 4 645
1 4 484
1 6 689
1 6 496
1 6 491
1 6 477
1 6 461
1 6 706
1 6 479
1 6 508
1 6 486
1 6 484
1 6 738
1 6 549
1 6 644
1 6 543
1 6 662
1 6 704
1 6 592
1 6 510
1 6 694
1 6 371
1 6 691
1 6 487
1 6 626
1 6 499
1 6 564
1 8 686
1 8 617
1 8 519
1 8 641
1 8 706
1 8 420
1 8 700
1 8 601
1 8 747
1 8 422
1 8 473
1 8 725
1 8 651
1 8 678
1 8 382
1 8 520
1 8 885
1 8 715
1 8 409
1 8 486
1 8 613
50 1 54776
50 1 49970
50 1 46103
50 1 41785
50 1 71478
50 1 67548
50 1 63229
50 1 59029
50 1 41447
50 1 36088
50 1 59272
50 1 53955
50 1 49734
50 1 26190
50 1 37545
50 1 32303
50 1 67715
50 1 63894
50 1 59809
50 1 55450
50 1 52124
50 1 48667
