user speed delay
1 1 1555
1 1 419
1 1 418
1 1 403
1 1 431
1 1 1540
1 1 425
1 1 444
1 1 410
1 1 529
1 1 1530
1 1 429
1 1 416
1 1 426
1 1 431
1 1 1536
1 1 430
1 1 416
1 1 409
1 1 524
1 1 1565
1 1 436
1 1 432
1 1 406
1 1 412
1 2 1472
1 2 442
1 2 976
1 2 846
1 2 301
1 2 2365
1 2 692
1 2 535
1 2 410
1 2 417
1 2 1555
1 2 491
1 2 421
1 2 410
1 2 446
1 2 1534
1 2 515
1 2 430
1 2 424
1 2 434
1 3 1605
1 3 469
1 3 423
1 3 434
1 3 526
1 3 1566
1 3 435
1 3 418
1 3 436
1 3 451
1 3 1596
1 3 445
1 3 428
1 3 445
1 3 468
1 3 1588
1 3 444
1 3 426
1 3 435
1 3 466
1 3 1540
1 3 437
1 3 421
1 3 449
1 3 419
1 4 1529
1 4 618
1 4 323
1 4 446
1 4 546
1 4 1576
1 4 702
1 4 335
1 4 435
1 4 423
1 4 1530
1 4 620
1 4 875
1 4 561
1 4 464
1 4 1624
1 4 449
1 4 452
1 4 560
1 4 466
1 4 1590
1 4 649
1 4 263
1 4 414
1 4 527
1 5 1743
1 5 633
1 5 305
1 5 417
1 5 583
1 5 1563
1 5 759
1 5 412
1 5 420
1 5 618
1 5 1553
1 5 631
1 5 289
1 5 425
1 5 579
1 5 1564
1 5 668
1 5 340
1 5 474
1 5 423
1 5 1587
1 5 656
1 5 332
1 5 472
1 5 427
1 6 1578
1 6 1003
1 6 788
1 6 988
1 6 759
1 6 558
1 6 1594
1 6 447
1 6 430
1 6 606
1 6 400
1 6 1566
1 6 632
1 6 302
1 6 472
1 6 670
1 6 455
1 6 1569
1 6 623
1 6 323
1 6 493
1 6 687
1 6 478
1 7 1642
1 7 631
1 7 370
1 7 565
1 7 382
1 7 1845
1 7 510
1 7 501
1 7 308
1 7 428
1 7 239
1 7 1802
1 7 451
1 7 435
1 7 244
1 7 609
1 7 411
1 7 235
1 7 1822
1 7 512
1 7 506
1 7 304
1 7 615
1 7 429
1 7 249
1 7 1815
1 7 503
1 7 681
1 7 477
1 7 295
1 8 1985
1 8 662
1 8 476
1 8 276
1 8 503
1 8 332
1 8 1636
1 8 443
1 8 608
1 8 400
1 8 446
1 8 276
1 8 1641
1 8 639
1 8 454
1 8 254
1 8 503
1 8 328
1 8 1642
1 8 652
1 8 452
1 8 262
1 8 499
1 8 305
1 8 1537
1 8 686
1 8 457
1 8 278
1 8 509
1 8 324
1 9 1777
1 9 623
1 9 423
1 9 650
1 9 493
1 9 342
1 9 1561
1 9 680
1 9 464
1 9 292
1 9 584
1 9 435
1 9 1665
1 9 617
1 9 366
1 9 617
1 9 463
1 9 304
1 9 1566
1 9 637
1 9 387
1 9 606
1 9 453
1 9 292
1 10 1582
1 10 630
1 10 481
1 10 338
1 10 616
1 10 475
1 10 326
1 10 1566
1 10 752
1 10 532
1 10 378
1 10 406
1 10 262
1 10 1565
1 10 620
1 10 352
1 10 615
1 10 471
1 10 316
1 10 1551
1 10 619
1 10 467
1 10 840
1 10 655
1 10 488
1 10 1561
1 10 665
1 10 418
1 10 656
1 10 503
1 10 341
2 1 23
2 1 523
2 1 609
2 1 409
2 1 437
2 1 425
2 1 552
2 1 626
2 1 577
2 1 399
2 1 610
2 1 524
2 1 462
2 1 403
2 1 404
2 1 412
2 1 8738
2 1 3081
2 1 2016
2 1 968
2 1 537
2 2 509
2 2 427
2 2 520
2 2 407
2 2 408
2 2 509
2 2 442
2 2 556
2 2 396
2 2 403
2 2 533
2 2 470
2 2 511
2 2 419
2 2 403
2 2 564
2 2 610
2 2 529
2 2 406
2 2 399
2 2 561
2 2 441
2 2 469
2 2 594
2 2 596
2 3 550
2 3 440
2 3 461
2 3 491
2 3 408
2 3 657
2 3 547
2 3 414
2 3 446
2 3 474
2 3 537
2 3 437
2 3 455
2 3 477
2 3 739
2 3 540
2 3 425
2 3 542
2 3 571
2 3 436
2 3 547
2 3 424
2 3 442
2 3 460
2 3 493
2 4 550
2 4 509
2 4 397
2 4 792
2 4 492
2 4 525
2 4 464
2 4 545
2 4 765
2 4 456
2 4 536
2 4 542
2 4 411
2 4 782
2 4 477
2 4 536
2 4 512
2 4 403
2 4 531
2 4 426
2 5 510
2 5 563
2 5 711
2 5 458
2 5 402
2 5 522
2 5 564
2 5 510
2 5 699
2 5 448
2 5 523
2 5 584
2 5 618
2 5 366
2 5 531
2 5 568
2 5 487
2 5 604
2 5 563
2 5 788
2 5 535
2 5 554
2 5 534
2 5 615
2 5 357
2 5 735
2 6 540
2 6 602
2 6 622
2 6 405
2 6 614
2 6 538
2 6 604
2 6 624
2 6 401
2 6 612
2 6 591
2 6 431
2 6 810
2 6 593
2 6 614
2 6 400
2 6 529
2 6 610
2 6 629
2 6 411
2 6 628
2 6 539
2 6 603
2 6 618
2 6 399
2 6 601
2 7 585
2 7 633
2 7 649
2 7 452
2 7 270
2 7 648
2 7 764
2 7 506
2 7 462
2 7 688
2 7 492
2 7 299
2 7 545
2 7 631
2 7 620
2 7 407
2 7 647
2 7 455
2 7 530
2 7 564
2 7 660
2 7 412
2 7 603
2 8 526
