user speed delay
1 1 1332
1 1 1330
1 1 1273
1 1 1240
1 1 1240
1 1 1138
1 1 1099
1 1 1327
1 1 1303
1 1 1281
1 1 1168
1 1 1146
1 1 1109
1 1 1141
1 1 1306
1 1 1249
1 1 1205
1 1 1166
1 1 1137
1 1 1169
1 1 1128
1 1 1090
1 1 1309
1 1 1291
1 1 1256
1 1 1130
1 1 1105
1 1 1320
1 1 1292
1 1 1251
1 1 1154
1 1 1126
1 1 1097
1 1 1323
1 1 1282
1 1 1184
1 1 1172
1 1 1103
1 1 1099
1 1 1284
1 1 1230
1 1 1175
1 1 1116
1 1 1118
1 1 1294
1 1 1147
1 1 1111
1 1 1302
1 1 1253
1 1 1241
1 2 1103
1 2 578
1 2 1291
1 2 762
1 2 1257
1 2 731
1 2 1122
1 2 591
1 2 1337
1 2 811
1 2 1273
1 2 749
1 2 1136
1 2 611
1 2 1336
1 2 809
1 2 1295
1 2 768
1 2 1211
1 2 637
1 2 1191
1 2 658
1 2 1287
1 2 764
1 2 1144
1 2 616
1 2 1331
1 2 800
1 2 1288
1 2 759
1 2 1108
1 2 577
1 2 1282
1 2 755
1 2 1257
1 2 729
1 2 1190
1 2 625
1 2 1145
1 2 618
1 2 1284
1 2 759
1 2 1224
1 2 652
1 2 1135
1 2 605
1 2 1312
1 2 786
1 2 1138
1 2 611
1 2 1090
1 2 563
1 2 1277
1 2 748
1 2 1125
1 2 596
1 2 1332
1 2 805
1 2 1251
1 2 725
1 3 1091
1 3 732
1 3 373
1 3 1262
1 3 898
1 3 531
1 3 1286
1 3 928
1 3 566
1 3 1212
1 3 856
1 3 496
1 3 1229
1 3 831
1 3 472
1 3 1115
1 3 756
1 3 394
1 3 1296
1 3 931
1 3 561
1 3 1196
1 3 838
1 3 483
1 3 1312
1 3 948
1 3 582
1 3 1250
1 3 882
1 3 523
1 3 1110
1 3 751
1 3 388
1 3 1284
1 3 927
1 3 563
1 3 1287
1 3 928
1 3 565
1 3 1198
1 3 840
1 3 483
1 3 1183
1 3 783
1 3 423
1 3 1315
1 3 957
1 3 604
1 3 1319
1 3 959
1 3 595
1 3 1256
1 3 902
1 3 545
1 3 1306
1 3 950
1 3 591
1 3 1232
1 3 875
1 3 518
1 4 1140
1 4 859
1 4 583
1 4 307
1 4 1284
1 4 1013
1 4 737
1 4 458
1 4 1220
1 4 907
1 4 629
1 4 350
1 4 1311
1 4 1042
1 4 763
1 4 482
1 4 1162
1 4 886
1 4 610
1 4 339
1 4 1305
1 4 1025
1 4 746
1 4 465
1 4 1233
1 4 900
1 4 616
1 4 339
1 4 1312
1 4 1035
1 4 758
1 4 477
1 4 1120
1 4 844
1 4 566
1 4 292
1 4 1303
1 4 1027
1 4 746
1 4 465
1 4 1115
1 4 832
1 4 553
1 4 277
1 4 1250
1 4 979
1 4 698
1 4 423
1 4 1148
1 4 872
1 4 598
1 4 322
1 4 1302
1 4 1027
1 4 748
1 4 472
1 4 1106
1 4 833
1 4 554
1 4 279
1 4 1268
1 4 993
1 4 714
1 4 436
1 4 1218
1 4 889
1 4 617
1 4 337
1 4 1282
1 4 1007
1 4 726
1 4 447
1 4 1136
1 4 864
1 4 590
1 4 314
1 4 1315
1 4 1037
1 4 758
1 4 484
1 5 1249
1 5 1022
1 5 793
1 5 562
1 5 336
1 5 1222
1 5 946
1 5 714
1 5 487
1 5 254
1 5 1227
1 5 953
1 5 720
1 5 493
1 5 264
1 5 1207
1 5 932
1 5 700
1 5 469
1 5 242
1 5 1231
1 5 953
1 5 721
1 5 490
1 5 261
1 5 1195
1 5 966
1 5 737
1 5 507
1 5 274
1 5 1174
1 5 947
1 5 724
1 5 493
1 5 263
1 5 1186
1 5 960
1 5 733
1 5 509
1 5 286
1 5 1237
1 5 963
1 5 736
1 5 514
1 5 286
1 5 1109
1 5 883
1 5 662
1 5 435
1 5 211
1 6 1246
1 6 1052
1 6 864
1 6 671
1 6 486
1 6 295
1 6 1215
1 6 1020
1 6 833
1 6 640
1 6 450
1 6 256
1 6 1225
1 6 1021
1 6 830
1 6 635
1 6 441
1 6 244
1 6 1223
1 6 1031
1 6 838
1 6 640
1 6 446
1 6 253
1 6 1251
1 6 1049
1 6 852
1 6 659
1 6 465
1 6 275
1 6 1217
1 6 985
1 6 788
1 6 592
1 6 399
1 6 204
1 6 1215
1 6 1016
1 6 818
1 6 622
1 6 434
1 6 244
1 6 1276
1 6 1079
1 6 890
1 6 693
1 6 500
1 6 310
1 6 1210
1 6 1015
1 6 826
1 6 637
1 6 445
1 6 255
1 6 1191
1 6 966
1 6 771
1 6 580
1 6 388
1 6 200
1 7 1223
1 7 1054
1 7 884
1 7 717
1 7 548
1 7 380
1 7 1255
1 7 1088
1 7 920
1 7 753
1 7 583
1 7 419
1 7 1212
1 7 1001
1 7 835
1 7 667
1 7 500
1 7 332
1 7 1230
1 7 1061
1 7 897
1 7 731
1 7 566
1 7 397
1 7 230
1 7 1232
1 7 1059
1 7 886
1 7 718
1 7 550
1 7 378
1 7 1158
1 7 988
1 7 822
1 7 656
1 7 480
1 7 306
1 7 1184
1 7 963
1 7 796
1 7 628
1 7 461
1 7 293
1 7 1314
1 7 1151
1 7 986
1 7 819
1 7 650
1 7 480
1 7 1239
1 7 1070
1 7 905
1 7 738
1 7 572
1 7 405
1 7 1287
1 7 1117
1 7 953
1 7 789
1 7 625
1 7 456
1 7 286
1 8 1273
1 8 1118
1 8 972
1 8 823
1 8 673
1 8 521
1 8 371
1 8 1282
1 8 1128
1 8 973
1 8 823
1 8 676
1 8 528
1 8 377
1 8 1286
1 8 1130
1 8 981
1 8 829
1 8 680
1 8 528
1 8 379
1 8 1284
1 8 1127
1 8 972
1 8 817
1 8 666
1 8 513
1 8 355
1 8 1239
1 8 1050
1 8 902
1 8 752
1 8 602
1 8 446
1 8 291
1 8 1232
1 8 1022
1 8 872
1 8 719
1 8 567
1 8 411
1 8 259
1 8 1206
1 8 1021
1 8 873
1 8 723
1 8 573
1 8 423
1 8 271
1 8 1290
1 8 1135
1 8 986
1 8 833
1 8 683
1 8 532
1 8 381
1 8 1232
1 8 1082
1 8 933
1 8 783
1 8 632
1 8 482
1 8 332
1 8 1263
1 8 1110
1 8 961
1 8 811
1 8 659
1 8 509
1 8 355
1 9 1234
1 9 1094
1 9 958
1 9 819
1 9 684
1 9 550
1 9 415
1 9 278
1 9 1373
1 9 1239
1 9 1102
1 9 967
1 9 830
1 9 697
1 9 560
1 9 420
1 9 1386
1 9 1247
1 9 1105
1 9 972
1 9 830
1 9 695
1 9 555
1 9 415
1 9 1243
1 9 1104
1 9 962
1 9 817
1 9 680
1 9 540
1 9 398
1 9 261
1 9 1254
1 9 1068
1 9 931
1 9 785
1 9 646
1 9 506
1 9 366
1 9 229
1 9 1208
1 9 1020
1 9 882
1 9 739
1 9 600
1 9 464
1 9 320
