user speed delay
1 1 2585
1 1 1785
1 1 1908
1 1 1641
1 1 1766
1 1 2300
1 1 1811
1 1 1916
1 1 1625
1 1 2236
1 1 2516
1 1 1815
1 1 1665
1 1 1973
1 1 1902
1 2 2467
1 2 2214
1 2 1749
1 2 2152
1 2 1792
1 2 746
1 2 2912
1 2 1958
1 2 2150
1 2 1872
1 2 790
1 2 2378
1 2 1966
1 2 2006
1 2 2256
1 2 1836
1 2 770
1 4 2446
1 4 1133
1 4 1507
1 4 1979
1 4 1179
1 4 2445
1 4 1044
1 4 1273
1 4 1715
1 4 931
1 4 2805
1 4 2114
1 4 1093
1 4 1794
1 4 994
1 5 2378
1 5 1080
1 5 2118
1 5 1395
1 5 1703
1 5 937
1 5 2380
1 5 1051
1 5 1361
1 5 1915
1 5 1195
1 5 2165
1 5 895
1 5 2020
1 5 1256
1 5 1890
1 5 1207
1 6 2308
1 6 1036
1 6 1817
1 6 1101
1 6 1763
1 6 1081
1 6 2607
1 6 1453
1 6 2046
1 6 1284
1 6 1750
1 6 987
1 6 2335
1 6 1137
1 6 1910
1 6 1191
1 6 1891
1 6 1036
1 8 2729
1 8 1517
1 8 1808
1 8 1131
1 8 1816
1 8 1109
1 8 2375
1 8 1122
1 8 1549
1 8 1568
1 8 931
1 8 2837
1 8 1484
1 8 1914
1 8 1217
1 8 1945
1 8 1252
1 10 2340
1 10 1110
1 10 1949
1 10 1216
1 10 1700
1 10 982
1 10 2371
1 10 973
1 10 1767
1 10 1166
1 10 2211
1 10 1522
1 10 2265
1 10 1019
1 10 1992
1 10 1307
1 10 1891
1 10 1190
2 1 2614
2 1 2429
2 1 2269
2 1 2677
2 1 2424
2 1 2556
2 1 2110
2 1 2224
2 1 2211
2 1 2428
2 1 2725
2 1 2321
2 1 2170
2 1 2272
2 1 2724
2 2 2687
2 2 2470
2 2 2394
2 2 1816
2 2 2467
2 2 2530
2 2 2188
2 2 2527
2 2 2224
2 2 2425
2 2 2450
2 2 2378
2 2 1925
2 2 2460
2 2 2558
2 4 2613
2 4 2301
2 4 2721
2 4 2689
2 4 2769
2 4 2767
2 4 2778
2 4 2663
2 4 1399
2 4 2975
2 4 2291
2 4 1985
2 4 2459
2 4 2530
2 4 2376
2 5 3081
2 5 2598
2 5 2280
2 5 2211
2 5 2719
2 5 2641
2 5 2422
2 5 2637
2 5 2463
2 5 2663
2 5 3222
2 5 2931
2 5 2653
2 5 2639
2 5 3156
2 6 2255
2 6 2583
2 6 1511
2 6 1612
2 6 2565
2 6 2750
2 6 2408
2 6 2752
2 6 2991
2 6 2484
2 6 2767
2 6 2609
2 6 2298
2 6 2559
2 6 2893
2 8 2835
2 8 1565
2 8 1672
2 8 2435
2 8 2599
2 8 2662
2 8 2605
2 8 1412
2 8 1390
2 8 2524
2 8 2717
2 8 2580
2 8 2647
2 8 2707
2 8 2452
2 10 2621
2 10 2691
2 10 1300
2 10 1756
2 10 2107
2 10 2686
2 10 2982
2 10 1719
2 10 1542
2 10 2739
2 10 3152
2 10 1763
2 10 2799
2 10 2852
2 10 1736
3 1 3709
3 1 3655
3 1 2877
3 1 3338
3 1 2986
3 1 3195
3 1 3215
3 1 3079
3 1 2870
3 1 3039
3 1 3379
3 1 3197
3 1 3359
3 1 3008
3 1 5449
3 2 3457
3 2 3661
3 2 2986
3 2 2965
3 2 2791
3 2 3587
3 2 2735
3 2 3797
3 2 3158
3 2 3628
3 2 3605
3 2 2596
3 2 3334
3 2 3376
3 2 3137
3 4 3562
3 4 5022
3 4 3274
3 4 2903
3 4 2802
3 4 4066
3 4 3843
3 4 2634
3 4 3097
3 4 2939
3 4 3935
3 4 3708
3 4 3730
3 4 4013
3 4 3283
3 5 5043
3 5 3817
3 5 3504
3 5 3425
3 5 3165
3 5 3604
3 5 3104
3 5 3641
3 5 2977
3 5 3324
3 5 3933
3 5 3273
3 5 3960
3 5 3374
3 5 3399
3 6 4014
3 6 3459
3 6 3810
3 6 3720
3 6 4548
3 6 3755
3 6 2951
3 6 3636
3 6 2803
3 6 2892
3 6 3656
3 6 2831
3 6 4041
3 6 4767
3 6 3151
3 8 4208
3 8 4270
3 8 4264
3 8 3792
3 8 3175
3 8 4775
3 8 3622
3 8 3486
3 8 3735
3 8 3200
3 8 3130
3 8 3748
3 8 4186
3 8 3180
3 8 3070
3 10 3676
3 10 3303
3 10 3176
3 10 3437
3 10 2979
3 10 3131
3 10 3173
3 10 4029
3 10 3597
3 10 1796
3 10 3891
3 10 4374
3 10 3543
3 10 3057
3 10 4285
4 1 4757
4 1 5102
4 1 6540
4 1 4337
4 1 4850
4 1 4632
4 1 7632
4 1 3854
4 1 5716
4 1 6870
4 1 5048
4 1 4906
4 1 4568
4 1 6048
4 1 4633
4 2 5526
4 2 7147
4 2 5231
4 2 4588
4 2 4749
4 2 3689
4 2 6813
4 2 4429
4 2 5273
4 2 6575
4 2 6440
4 2 5955
4 2 6845
4 2 5426
4 2 6732
4 4 5092
4 4 3696
4 4 4815
4 4 4305
4 4 3701
4 4 4630
4 4 7089
4 4 3900
4 4 5936
4 4 6611
4 4 4190
4 4 3540
4 4 4984
4 4 3697
4 4 4622
4 4 3075
4 5 5700
4 5 4594
4 5 6619
4 5 4769
4 5 4596
4 5 3489
4 5 4470
4 5 4518
4 5 4059
4 5 3546
4 5 11478
4 5 5829
4 5 6968
4 5 5369
4 5 4509
4 6 17051
4 6 4898
4 6 4036
4 6 7834
4 6 4165
4 6 9161
4 6 5278
4 6 5510
4 6 6550
4 6 6686
4 6 4223
4 6 4023
4 6 6133
4 6 5344
4 6 5614
4 8 4505
4 8 5050
4 8 6030
4 8 5257
4 8 7843
4 8 4757
4 8 5854
4 8 3699
4 8 3707
4 8 3613
4 8 5284
4 8 3902
4 8 4288
4 8 4534
