user speed delay
1 1 457
1 1 523
1 1 454
1 1 481
1 1 434
1 1 324
1 1 260
1 1 339
1 1 456
1 1 251
1 1 333
1 1 532
1 1 425
1 1 476
1 1 484
1 1 362
1 1 303
1 1 281
1 1 417
1 1 255
1 1 296
1 1 536
1 1 400
1 1 721
1 1 345
1 1 437
1 1 342
1 1 303
1 1 311
1 1 253
1 1 300
1 1 400
1 1 418
1 1 578
1 1 402
1 1 290
1 1 376
1 1 329
1 1 372
1 1 237
1 2 362
1 2 329
1 2 318
1 2 520
1 2 294
1 2 333
1 2 297
1 2 324
1 2 421
1 2 259
1 2 351
1 2 416
1 2 455
1 2 465
1 2 326
1 2 354
1 2 468
1 2 314
1 2 372
1 2 227
1 2 343
1 2 495
1 2 352
1 2 472
1 2 305
1 2 303
1 2 287
1 2 292
1 2 450
1 2 342
1 2 393
1 2 494
1 2 316
1 2 585
1 2 318
1 2 346
1 2 355
1 2 292
1 2 298
1 2 229
1 4 383
1 4 628
1 4 537
1 4 891
1 4 772
1 4 561
1 4 362
1 4 286
1 4 459
1 4 228
1 4 510
1 4 701
1 4 659
1 4 813
1 4 556
1 4 448
1 4 311
1 4 257
1 4 337
1 4 240
1 4 441
1 4 611
1 4 467
1 4 603
1 4 336
1 4 395
1 4 290
1 4 292
1 4 419
1 4 278
1 4 335
1 4 456
1 4 526
1 4 532
1 4 398
1 4 299
1 4 334
1 4 471
1 4 318
1 4 322
1 5 362
1 5 595
1 5 494
1 5 503
1 5 470
1 5 392
1 5 370
1 5 298
1 5 354
1 5 262
1 5 278
1 5 502
1 5 536
1 5 636
1 5 658
1 5 357
1 5 400
1 5 504
1 5 502
1 5 339
1 5 429
1 5 473
1 5 568
1 5 751
1 5 589
1 5 487
1 5 442
1 5 435
1 5 340
1 5 254
1 5 399
1 5 542
1 5 600
1 5 923
1 5 748
1 5 516
1 5 441
1 5 581
1 5 408
1 5 331
1 6 390
1 6 501
1 6 503
1 6 850
1 6 805
1 6 694
1 6 699
1 6 640
1 6 561
1 6 487
1 6 468
1 6 457
1 6 494
1 6 655
1 6 591
1 6 462
1 6 349
1 6 364
1 6 412
1 6 319
1 6 402
1 6 480
1 6 551
1 6 715
1 6 603
1 6 686
1 6 599
1 6 667
1 6 591
1 6 449
1 6 422
1 6 1070
1 6 1191
1 6 1218
1 6 1172
1 6 1128
1 6 1049
1 6 1133
1 6 1324
1 6 1154
1 8 367
1 8 692
1 8 772
1 8 1016
1 8 1126
1 8 1237
1 8 1109
1 8 1056
1 8 1032
1 8 882
1 8 380
1 8 599
1 8 681
1 8 912
1 8 1069
1 8 1250
1 8 1186
1 8 1138
1 8 1070
1 8 836
1 8 386
1 8 606
1 8 595
1 8 900
1 8 858
1 8 753
1 8 700
1 8 698
1 8 699
1 8 852
1 8 307
1 8 541
1 8 551
1 8 876
1 8 1021
1 8 845
1 8 838
1 8 759
1 8 724
1 8 604
1 10 319
1 10 556
1 10 835
1 10 1116
1 10 1085
1 10 1047
1 10 962
1 10 993
1 10 892
1 10 808
1 10 371
1 10 773
1 10 887
1 10 1160
1 10 1310
1 10 1377
1 10 1090
1 10 1079
1 10 984
1 10 898
1 10 465
1 10 500
1 10 734
1 10 1064
1 10 1023
1 10 1130
1 10 992
1 10 986
1 10 969
1 10 869
1 10 456
1 10 788
1 10 970
1 10 1017
1 10 1067
1 10 1139
1 10 973
1 10 994
1 10 903
1 10 797
2 1 489
2 1 582
2 1 557
2 1 500
2 1 407
2 1 423
2 1 299
2 1 299
2 1 370
2 1 450
2 1 608
2 1 633
2 1 519
2 1 598
2 1 402
2 1 569
2 1 463
2 1 499
2 1 326
2 1 299
2 1 513
2 1 730
2 1 592
2 1 884
2 1 494
2 1 665
2 1 458
2 1 482
2 1 545
2 1 436
2 1 510
2 1 532
2 1 653
2 1 667
2 1 667
2 1 500
2 1 388
2 1 402
2 1 428
2 1 437
2 2 618
2 2 605
2 2 610
2 2 544
2 2 444
2 2 320
2 2 394
2 2 391
2 2 562
2 2 474
2 2 592
2 2 656
2 2 734
2 2 518
2 2 371
2 2 439
2 2 542
2 2 542
2 2 330
2 2 304
2 2 487
2 2 502
2 2 586
2 2 504
2 2 566
2 2 536
2 2 427
2 2 366
2 2 371
2 2 333
2 2 507
2 2 606
2 2 674
2 2 450
2 2 536
2 2 528
2 2 426
2 2 571
2 2 399
2 2 572
2 4 833
2 4 839
2 4 1036
2 4 717
2 4 878
2 4 880
2 4 577
2 4 702
2 4 557
2 4 402
2 4 721
2 4 894
2 4 1372
2 4 1035
2 4 973
2 4 973
2 4 689
2 4 859
2 4 851
2 4 644
2 4 527
2 4 716
2 4 657
2 4 890
2 4 884
2 4 1152
2 4 790
2 4 615
2 4 671
2 4 350
2 4 811
2 4 1058
2 4 1352
2 4 1443
2 4 1648
2 4 1431
2 4 1185
2 4 1030
2 4 1060
2 4 788
2 5 657
2 5 1026
2 5 1539
2 5 1573
2 5 1706
2 5 1793
2 5 1783
2 5 1809
2 5 1645
2 5 1368
2 5 500
2 5 1108
2 5 1594
2 5 1663
2 5 1614
2 5 1653
2 5 1241
2 5 1137
2 5 1191
2 5 809
2 5 753
2 5 874
2 5 1036
2 5 1025
2 5 1025
2 5 1116
2 5 1282
2 5 1378
2 5 1332
2 5 1000
2 5 577
2 5 905
2 5 1102
2 5 1542
2 5 1478
2 5 1271
2 5 1390
2 5 1298
2 5 1098
2 5 1049
2 6 567
2 6 1232
2 6 1314
2 6 1208
2 6 1422
2 6 1452
2 6 1265
2 6 1324
2 6 1220
2 6 944
2 6 525
2 6 953
2 6 1790
2 6 1710
2 6 1851
2 6 1653
2 6 1679
2 6 1606
2 6 1271
2 6 1005
2 6 647
2 6 1143
2 6 1384
2 6 1751
2 6 1605
2 6 1459
2 6 1438
2 6 1387
2 6 1061
2 6 1033
2 6 410
2 6 1078
2 6 1790
2 6 1499
2 6 1431
2 6 1350
2 6 1272
2 6 1257
2 6 1212
2 6 926
2 8 534
2 8 1840
2 8 1994
2 8 2307
2 8 2209
2 8 2214
2 8 1877
2 8 2094
2 8 1750
2 8 1342
2 8 572
2 8 1127
2 8 1300
2 8 1318
2 8 1562
2 8 1465
2 8 1486
2 8 1313
2 8 1220
2 8 1151
2 8 421
2 8 1080
2 8 1417
2 8 1658
2 8 1900
2 8 1772
2 8 1570
2 8 1461
2 8 1204
2 8 1052
2 8 552
2 8 1539
2 8 1667
2 8 1948
2 8 2001
2 8 1950
2 8 2048
2 8 2024
2 8 1824
2 8 1509
2 10 514
2 10 1674
2 10 1874
2 10 2233
2 10 2193
2 10 2166
2 10 2185
2 10 2298
2 10 2183
2 10 2091
2 10 661
2 10 1467
2 10 1995
2 10 2052
2 10 2153
2 10 1899
2 10 1878
2 10 1860
2 10 1766
2 10 1651
2 10 620
2 10 1582
2 10 2023
2 10 1916
2 10 2109
2 10 1819
2 10 1735
2 10 1658
2 10 1617
2 10 1395
2 10 630
2 10 1176
2 10 1863
2 10 2114
2 10 1791
2 10 1874
2 10 1762
2 10 1634
2 10 1750
2 10 1537
5 1 1589
5 1 2929
5 1 2717
5 1 1387
5 1 1054
5 1 724
5 1 604
5 1 847
5 1 864
5 1 978
5 1 1326
5 1 2057
5 1 2536
5 1 2597
5 1 1473
5 1 802
5 1 686
5 1 584
5 1 697
5 1 681
5 1 1465
5 1 3003
5 1 2874
5 1 2233
5 1 1793
5 1 1137
5 1 1142
5 1 1210
5 1 661
5 1 958
5 1 1356
5 1 3364
5 1 2846
5 1 1887
5 1 1892
5 1 1188
5 1 1041
5 1 957
5 1 619
5 1 838
5 2 1179
5 2 5242
5 2 6328
5 2 5008
5 2 4527
5 2 4037
5 2 3586
5 2 3224
5 2 2917
5 2 2318
5 2 1192
5 2 5772
5 2 5925
5 2 5075
5 2 3774
5 2 2674
5 2 1858
5 2 2565
5 2 2270
5 2 1701
5 2 1520
5 2 6037
5 2 6140
5 2 5879
5 2 5459
5 2 5759
5 2 5133
5 2 4392
5 2 3766
5 2 3159
5 2 1467
5 2 6057
5 2 6259
5 2 4766
5 2 3486
5 2 4132
5 2 3549
5 2 3480
5 2 3243
5 2 2329
5 4 2171
5 4 6213
5 4 6728
5 4 6769
5 4 6658
5 4 6003
5 4 4798
5 4 4751
5 4 4739
5 4 4392
5 4 1463
5 4 6704
5 4 5478
5 4 4771
5 4 4285
5 4 3949
5 4 3813
5 4 3672
5 4 3221
5 4 2742
5 4 1477
5 4 6024
5 4 6212
5 4 6763
5 4 6407
5 4 6404
5 4 5904
5 4 5728
5 4 4784
5 4 3822
5 4 1651
5 4 5098
5 4 6079
5 4 6269
5 4 6537
5 4 6403
5 4 5284
5 4 4310
5 4 3282
5 4 2953
5 5 1818
5 5 5458
5 5 6450
5 5 6892
5 5 5627
5 5 5379
5 5 4897
5 5 4710
5 5 4203
5 5 3645
5 5 2085
5 5 5548
5 5 6624
5 5 7146
5 5 7353
5 5 6211
5 5 5048
5 5 4803
5 5 4671
5 5 4062
5 5 1279
5 5 7117
5 5 6010
5 5 4101
5 5 3932
5 5 4440
5 5 4120
5 5 3553
5 5 3129
5 5 2702
5 5 1608
5 5 5754
5 5 7245
5 5 7859
5 5 6463
5 5 4774
5 5 4263
5 5 3792
5 5 3948
5 5 3540
5 6 1840
5 6 5827
5 6 6972
5 6 6572
5 6 7449
5 6 7035
5 6 6857
5 6 6046
5 6 5297
5 6 4323
5 6 1697
5 6 4710
5 6 6655
5 6 7196
5 6 7699
5 6 6553
5 6 5611
5 6 4486
5 6 3942
5 6 3228
5 6 1647
5 6 5447
5 6 6431
5 6 5669
5 6 4501
5 6 4357
5 6 4316
5 6 3792
5 6 3359
5 6 2535
5 6 1484
5 6 6076
5 6 7976
5 6 7571
5 6 6449
5 6 5481
5 6 4602
5 6 4639
5 6 3915
5 6 3527
5 8 2431
5 8 5604
5 8 5254
5 8 5196
5 8 4930
5 8 4295
5 8 3833
5 8 3944
5 8 3350
5 8 2941
5 8 2672
5 8 6539
5 8 7434
5 8 8691
5 8 8077
5 8 7055
5 8 6871
5 8 5726
5 8 4608
5 8 3861
5 8 2296
5 8 5544
5 8 5931
5 8 6758
5 8 7486
5 8 6255
5 8 5407
5 8 5218
5 8 4595
5 8 3618
5 8 2211
5 8 6482
5 8 6326
5 8 5904
5 8 5101
5 8 4111
5 8 3908
5 8 4247
5 8 4017
5 8 3462
5 10 1859
5 10 6711
5 10 7381
5 10 7814
5 10 7056
5 10 6357
5 10 5620
5 10 5137
5 10 4450
5 10 3844
5 10 1964
5 10 5943
5 10 5801
5 10 5759
5 10 4399
5 10 4609
5 10 4853
5 10 4182
5 10 3757
5 10 3526
5 10 1634
5 10 7868
5 10 8962
5 10 9103
5 10 7638
5 10 6001
5 10 6028
5 10 5092
5 10 4446
5 10 3708
5 10 1179
5 10 6308
5 10 6559
5 10 7125
5 10 5923
5 10 4777
5 10 4415
5 10 4019
5 10 3786
5 10 3376
10 1 4345
10 1 5283
10 1 2957
10 1 1084
10 1 1190
10 1 1290
10 1 1326
10 1 1467
10 1 1002
10 1 815
10 1 6067
10 1 6515
10 1 4281
10 1 3786
10 1 3067
10 1 2353
10 1 1813
10 1 1794
10 1 2522
10 1 1240
10 1 3761
10 1 6498
10 1 4113
10 1 2993
10 1 1659
10 1 757
10 1 800
10 1 965
10 1 1119
10 1 1061
10 1 3650
10 1 4962
10 1 3857
10 1 2440
10 1 1813
10 1 995
10 1 985
10 1 780
10 1 1088
10 1 1238
10 2 7544
10 2 8300
10 2 5707
10 2 5124
10 2 4736
10 2 6823
10 2 7582
10 2 6619
10 2 5873
10 2 4896
10 2 4468
10 2 6501
10 2 3361
10 2 3516
10 2 2831
10 2 2335
10 2 2320
10 2 2758
10 2 2397
10 2 1847
10 2 3887
10 2 7273
10 2 6095
10 2 4955
10 2 4653
10 2 4511
10 2 3248
10 2 2610
10 2 2506
10 2 2286
10 2 5488
10 2 7605
10 2 5761
