user speed delay
1 1 260
1 1 96
1 1 183
1 1 34
1 1 83
1 1 354
1 1 124
1 1 103
1 1 188
1 1 106
1 1 383
1 1 75
1 1 101
1 1 82
1 1 208
1 1 372
1 1 120
1 1 85
1 1 84
1 1 94
1 1 189
1 1 44
1 1 118
1 1 109
1 1 64
1 2 341
1 2 171
1 2 47
1 2 110
1 2 60
1 2 162
1 2 158
1 2 103
1 2 140
1 2 61
1 2 399
1 2 58
1 2 36
1 2 127
1 2 171
1 2 326
1 2 104
1 2 30
1 2 107
1 2 42
1 2 295
1 2 145
1 2 108
1 2 38
1 2 141
1 3 225
1 3 72
1 3 56
1 3 84
1 3 84
1 3 243
1 3 110
1 3 194
1 3 179
1 3 53
1 3 241
1 3 159
1 3 211
1 3 53
1 3 200
1 3 364
1 3 69
1 3 40
1 3 226
1 3 183
1 3 338
1 3 83
1 3 149
1 3 111
1 3 95
1 4 228
1 4 75
1 4 88
1 4 125
1 4 176
1 4 150
1 4 49
1 4 164
1 4 43
1 4 44
1 4 296
1 4 111
1 4 173
1 4 75
1 4 80
1 4 337
1 4 118
1 4 61
1 4 103
1 4 53
1 4 280
1 4 108
1 4 40
1 4 158
1 4 84
1 5 212
1 5 65
1 5 64
1 5 132
1 5 90
1 5 298
1 5 100
1 5 73
1 5 195
1 5 45
1 5 313
1 5 43
1 5 69
1 5 110
1 5 89
1 5 245
1 5 66
1 5 90
1 5 109
1 5 159
1 5 262
1 5 82
1 5 43
1 5 44
1 5 33
1 6 340
1 6 90
1 6 34
1 6 81
1 6 28
1 6 217
1 6 75
1 6 45
1 6 27
1 6 34
1 6 358
1 6 124
1 6 84
1 6 29
1 6 69
1 6 230
1 6 164
1 6 103
1 6 95
1 6 65
1 6 239
1 6 38
1 6 80
1 6 86
1 6 71
1 7 302
1 7 68
1 7 62
1 7 151
1 7 71
1 7 146
1 7 78
1 7 191
1 7 185
1 7 59
1 7 239
1 7 104
1 7 89
1 7 104
1 7 122
1 7 348
1 7 122
1 7 72
1 7 153
1 7 81
1 7 381
1 7 168
1 7 32
1 7 89
1 7 105
1 8 397
1 8 198
1 8 48
1 8 63
1 8 85
1 8 229
1 8 213
1 8 61
1 8 43
1 8 88
1 8 178
1 8 94
1 8 94
1 8 38
1 8 77
1 8 279
1 8 79
1 8 119
1 8 36
1 8 121
1 8 400
1 8 188
1 8 38
1 8 55
1 8 63
1 9 195
1 9 150
1 9 41
1 9 36
1 9 130
1 9 245
1 9 46
1 9 121
1 9 137
1 9 22
1 9 254
1 9 74
1 9 30
1 9 156
1 9 149
1 9 182
1 9 90
1 9 144
1 9 86
1 9 124
1 9 237
1 9 51
1 9 38
1 9 145
1 9 98
1 10 253
1 10 84
1 10 35
1 10 38
1 10 136
1 10 365
1 10 202
1 10 78
1 10 60
1 10 107
1 10 151
1 10 64
1 10 128
1 10 194
1 10 76
1 10 133
1 10 92
1 10 134
1 10 194
1 10 73
1 10 293
1 10 125
1 10 137
1 10 101
1 10 99
2 1 304
2 1 33
2 1 31
2 1 116
2 1 96
2 1 28
2 1 87
2 1 39
2 1 114
2 1 130
2 1 201
2 1 58
2 1 74
2 1 127
2 1 116
2 1 131
2 1 92
2 1 85
2 1 115
2 1 56
2 1 330
2 1 101
2 1 111
2 1 79
2 1 81
2 2 344
2 2 147
2 2 49
2 2 66
2 2 216
2 2 186
2 2 29
2 2 142
2 2 44
2 2 143
2 2 67
2 2 73
2 2 40
2 2 172
2 2 100
2 2 104
2 2 55
2 2 115
2 2 77
2 2 43
2 2 62
2 2 52
2 2 193
2 2 174
2 2 115
2 3 40
2 3 109
2 3 93
2 3 108
2 3 55
2 3 240
2 3 206
2 3 61
2 3 89
2 3 82
2 3 33
2 3 41
2 3 201
2 3 138
2 3 117
2 3 106
2 3 124
2 3 157
2 3 160
2 3 147
2 3 275
