user speed delay
1 1 1043
1 1 159
1 1 121
1 1 143
1 1 33
1 1 135
1 1 61
1 1 160
1 1 149
1 1 72
1 1 113
1 1 133
1 1 169
1 1 59
1 1 202
1 1 551
1 1 40
1 1 55
1 1 81
1 1 88
1 1 152
1 1 117
1 1 74
1 1 120
1 1 74
1 2 96
1 2 62
1 2 154
1 2 135
1 2 36
1 2 116
1 2 69
1 2 56
1 2 152
1 2 74
1 2 193
1 2 50
1 2 59
1 2 42
1 2 115
1 2 213
1 2 104
1 2 66
1 2 59
1 2 83
1 2 181
1 2 182
1 2 90
1 2 195
1 2 44
1 4 234
1 4 94
1 4 67
1 4 53
1 4 51
1 4 228
1 4 75
1 4 101
1 4 212
1 4 102
1 4 296
1 4 142
1 4 174
1 4 75
1 4 61
1 4 95
1 4 129
1 4 93
1 4 94
1 4 165
1 4 184
1 4 144
1 4 134
1 4 99
1 4 116
1 6 371
1 6 147
1 6 47
1 6 84
1 6 48
1 6 246
1 6 161
1 6 112
1 6 108
1 6 102
1 6 189
1 6 159
1 6 53
1 6 34
1 6 133
1 6 269
1 6 46
1 6 116
1 6 88
1 6 86
1 6 132
1 6 29
1 6 189
1 6 164
1 6 117
1 8 241
1 8 57
1 8 67
1 8 52
1 8 130
1 8 269
1 8 86
1 8 43
1 8 42
1 8 80
1 8 223
1 8 42
1 8 117
1 8 181
1 8 34
1 8 280
1 8 97
1 8 52
1 8 127
1 8 120
1 8 309
1 8 127
1 8 156
1 8 37
1 8 83
1 10 257
1 10 95
1 10 127
1 10 51
1 10 26
1 10 333
1 10 175
1 10 47
1 10 53
1 10 43
1 10 276
1 10 123
1 10 168
1 10 41
1 10 84
1 10 214
1 10 60
1 10 62
1 10 57
1 10 49
1 10 209
1 10 56
1 10 120
1 10 112
1 10 93
2 1 236
2 1 130
2 1 111
2 1 178
2 1 123
2 1 64
2 1 99
2 1 79
2 1 110
2 1 35
2 1 133
2 1 94
2 1 87
2 1 50
2 1 64
2 1 150
2 1 60
2 1 113
2 1 54
2 1 63
2 1 119
2 1 66
2 1 179
2 1 53
2 1 98
2 2 89
2 2 142
2 2 100
2 2 107
2 2 40
2 2 111
2 2 119
2 2 58
2 2 35
2 2 34
2 2 129
2 2 64
2 2 60
2 2 85
2 2 123
2 2 102
2 2 83
2 2 56
2 2 33
2 2 115
2 2 87
2 2 176
2 2 176
2 2 33
2 2 58
2 4 73
2 4 77
2 4 45
2 4 27
2 4 72
2 4 102
2 4 79
2 4 130
2 4 31
2 4 55
2 4 75
2 4 40
2 4 124
2 4 60
2 4 177
2 4 100
2 4 32
2 4 54
2 4 127
2 4 86
2 4 147
2 4 123
2 4 76
2 4 124
2 4 34
2 6 82
2 6 125
2 6 71
2 6 61
2 6 76
2 6 84
2 6 59
2 6 49
2 6 25
2 6 102
2 6 119
2 6 80
2 6 79
2 6 140
2 6 90
2 6 188
2 6 42
2 6 37
2 6 43
2 6 146
2 6 186
2 6 123
2 6 127
2 6 111
2 6 56
2 8 73
2 8 118
2 8 124
2 8 51
2 8 167
2 8 143
2 8 71
2 8 41
2 8 70
2 8 84
2 8 142
2 8 104
2 8 80
2 8 56
2 8 115
2 8 77
2 8 69
2 8 122
2 8 55
2 8 64
2 8 105
2 8 43
2 8 76
2 8 160
2 8 140
2 10 74
2 10 82
2 10 39
2 10 91
2 10 170
2 10 51
2 10 157
2 10 44
2 10 73
2 10 177
2 10 57
2 10 137
2 10 149
2 10 29
2 10 106
2 10 53
2 10 101
2 10 126
2 10 79
2 10 142
2 10 23
2 10 231
2 10 49
2 10 111
2 10 64
2 10 31
5 1 101
5 1 199
5 1 55
5 1 107
5 1 43
5 1 186
5 1 88
5 1 169
5 1 71
5 1 140
5 1 114
5 1 80
5 1 118
5 1 132
5 1 116
5 1 187
5 1 101
5 1 40
5 1 57
5 1 48
5 1 178
5 1 70
5 1 47
5 1 44
5 1 51
5 2 152
5 2 140
5 2 79
5 2 129
5 2 139
5 2 160
5 2 135
5 2 51
5 2 106
5 2 190
5 2 171
5 2 47
5 2 105
5 2 111
5 2 118
5 2 213
5 2 115
5 2 143
5 2 117
5 2 202
5 2 170
5 2 51
5 2 208
5 2 79
5 2 48
5 4 137
5 4 113
5 4 115
5 4 100
5 4 60
5 4 263
5 4 67
5 4 227
5 4 87
5 4 129
5 4 147
5 4 102
5 4 140
5 4 79
5 4 81
5 4 174
5 4 251
5 4 49
5 4 53
5 4 46
5 4 195
5 4 121
5 4 80
5 4 122
5 4 90
5 6 171
5 6 80
5 6 67
5 6 46
5 6 344
5 6 124
5 6 196
5 6 77
5 6 78
5 6 120
5 6 51
5 6 237
5 6 123
5 6 106
5 6 197
5 6 125
5 6 190
5 6 51
5 6 119
5 6 96
5 6 87
5 6 287
5 6 93
5 6 170
5 6 88
5 6 176
5 8 241
5 8 202
5 8 37
5 8 99
5 8 118
5 8 301
5 8 176
5 8 88
5 8 99
5 8 84
5 8 249
5 8 106
5 8 115
5 8 94
5 8 51
5 8 174
5 8 72
5 8 96
5 8 248
5 8 89
5 8 201
5 8 81
5 8 110
5 8 58
5 8 50
5 10 202
5 10 49
5 10 56
5 10 93
5 10 50
5 10 262
5 10 99
5 10 111
5 10 82
5 10 158
5 10 172
5 10 87
5 10 129
5 10 70
5 10 103
5 10 300
5 10 61
5 10 78
5 10 62
5 10 90
5 10 114
5 10 76
5 10 112
5 10 187
5 10 54
10 1 227
10 1 146
10 1 109
10 1 194
10 1 137
10 1 297
10 1 121
10 1 250
10 1 108
10 1 138
10 1 215
10 1 301
10 1 195
10 1 121
10 1 160
10 1 216
10 1 219
10 1 127
10 1 51
10 1 224
10 1 324
10 1 167
10 1 149
10 1 138
10 1 299
10 2 330
10 2 119
10 2 69
10 2 210
10 2 93
10 2 178
10 2 184
10 2 209
10 2 109
10 2 86
10 2 189
10 2 105
10 2 261
10 2 62
10 2 230
10 2 382
10 2 93
10 2 112
10 2 152
10 2 93
10 2 173
10 2 195
10 2 298
10 2 124
10 2 98
10 4 84
10 4 79
10 4 75
10 4 55
10 4 72
10 4 348
10 4 112
10 4 190
10 4 191
10 4 228
10 4 320
10 4 144
10 4 165
10 4 358
10 4 96
10 4 259
10 4 309
10 4 103
10 4 55
10 4 57
10 4 395
10 4 205
10 4 85
10 4 205
10 4 181
10 6 221
10 6 85
10 6 248
10 6 195
10 6 96
10 6 503
10 6 216
10 6 253
10 6 55
10 6 114
10 6 83
10 6 175
10 6 130
10 6 177
10 6 65
10 6 216
10 6 141
10 6 185
10 6 145
10 6 182
10 6 575
10 6 164
10 6 146
10 6 78
10 6 115
10 8 222
10 8 282
10 8 96
10 8 199
10 8 103
10 8 766
10 8 70
10 8 204
10 8 70
10 8 103
10 8 660
10 8 198
10 8 177
10 8 126
10 8 228
10 8 505
10 8 240
10 8 59
10 8 154
10 8 168
10 8 503
10 8 205
10 8 160
10 8 251
10 8 91
10 10 668
10 10 68
10 10 148
10 10 114
10 10 270
10 10 125
10 10 746
10 10 545
10 10 322
10 10 267
10 10 90
10 10 440
10 10 175
10 10 321
10 10 443
10 10 276
10 10 745
10 10 185
10 10 217
10 10 77
10 10 182
10 10 752
10 10 309
10 10 159
10 10 176
10 10 269
10 10 116
15 1 444
15 1 197
15 1 62
15 1 229
15 1 293
15 1 260
15 1 95
15 1 70
15 1 63
15 1 101
15 1 181
15 1 75
15 1 149
15 1 141
15 1 109
15 1 185
15 1 141
15 1 211
15 1 102
15 1 88
15 1 272
15 1 169
15 1 86
15 1 162
15 1 110
15 2 536
15 2 259
15 2 252
15 2 119
15 2 162
15 2 791
15 2 219
15 2 85
15 2 327
15 2 170
15 2 820
15 2 90
15 2 308
15 2 338
15 2 155
15 2 973
15 2 207
15 2 246
15 2 266
15 2 425
15 2 1128
15 2 73
15 2 95
15 2 142
15 2 174
15 4 1447
15 4 182
15 4 355
15 4 171
15 4 101
15 4 421
15 4 194
15 4 225
15 4 236
15 4 104
15 4 197
15 4 444
15 4 593
15 4 299
15 4 78
15 4 367
15 4 107
15 4 409
15 4 136
15 4 518
15 4 1534
15 4 364
15 4 82
15 4 81
15 4 293
15 6 208
15 6 295
15 6 442
15 6 148
15 6 114
15 6 1218
15 6 194
15 6 274
15 6 279
15 6 107
15 6 1762
15 6 353
15 6 376
15 6 196
15 6 366
15 6 1234
15 6 277
15 6 337
15 6 188
15 6 184
15 6 1267
15 6 82
15 6 345
15 6 393
15 6 278
15 8 1772
15 8 516
15 8 339
15 8 179
15 8 235
15 8 24746
15 8 868
15 8 1219
15 8 1326
15 8 824
15 8 23481
15 8 1315
15 8 580
15 8 1129
15 8 879
15 8 23909
15 8 1117
15 8 758
15 8 1256
15 8 727
15 8 25238
15 8 1010
15 8 1204
15 8 764
15 8 1130
15 10 25659
15 10 941
15 10 886
15 10 1158
15 10 837
15 10 941
15 10 1035
15 10 1486
15 10 737
15 10 935
15 10 1042
15 10 1405
15 10 983
15 10 1255
15 10 1004
15 10 1735
15 10 1232
15 10 592
15 10 1506
15 10 1397
15 10 1043
15 10 552
15 10 1487
15 10 1153
15 10 759
20 1 3564
20 1 1536
20 1 1243
20 1 1496
20 1 1099
20 1 2843
20 1 1683
20 1 981
20 1 1529
20 1 943
20 1 3185
20 1 2251
20 1 2085
20 1 2645
20 1 1093
20 1 2745
20 1 2886
20 1 1996
20 1 2240
20 1 710
20 1 1743
20 1 648
20 1 2537
20 1 1078
20 1 1204
20 2 2740
20 2 1744
20 2 1492
20 2 953
20 2 1380
20 2 3783
20 2 1798
20 2 1054
20 2 2048
20 2 1056
20 2 17041
20 2 1285
20 2 1538
20 2 1446
20 2 1736
20 2 13171
20 2 3253
20 2 1798
20 2 1531
20 2 941
20 2 13952
20 2 1234
20 2 1740
20 2 1645
20 2 1135
20 4 2066
20 4 827
20 4 411
20 4 293
20 4 222
20 4 1831
20 4 948
20 4 333
20 4 318
20 4 540
20 4 524
20 4 102
20 4 316
20 4 129
20 4 328
20 6 2452
20 6 428
20 6 221
20 6 298
20 6 304
20 6 3925
20 6 582
20 6 502
20 6 185
20 6 155
20 6 2627
20 6 1020
20 6 527
20 6 556
20 6 599
20 8 290
20 8 682
20 8 511
20 8 388
20 8 170
20 8 2648
20 8 1194
20 8 895
20 8 598
20 8 501
20 8 348
20 8 110
20 8 834
20 8 182
20 8 1117
20 8 284
20 10 544
20 10 624
20 10 459
20 10 663
20 10 1028
20 10 406
20 10 471
20 10 244
20 10 475
20 10 518
20 10 2794
20 10 666
20 10 681
20 10 702
20 10 260
25 1 131
25 1 321
25 1 287
25 1 142
25 1 426
25 1 320
25 1 109
25 1 151
25 1 376
25 1 58
30 1 1220
30 1 139
30 1 104
30 1 288
30 1 278
30 1 440
30 1 125
30 1 175
30 1 215
30 1 516
30 1 2000
30 1 275
30 1 331
30 1 455
30 1 377
30 2 1443
30 2 331
30 2 156
30 2 162
30 2 279
30 2 2241
30 2 358
30 2 353
30 2 619
30 2 194
30 4 2322
30 4 266
30 4 470
30 4 48
30 4 581
30 4 223
30 6 1034
30 6 527
30 6 935
30 6 272
30 6 1014
30 6 311
30 6 407
30 6 199
30 6 898
30 6 520
30 6 2362
30 6 714
30 6 500
30 6 564
30 6 325
30 8 178
30 8 112
30 8 712
30 8 319
30 8 1298
30 10 733
30 10 506
30 10 256
30 10 429
30 10 160
30 10 2320
30 10 163
30 10 119
30 10 110
30 10 218
30 10 61
30 10 2091
30 10 907
30 10 743
30 10 314
30 10 1027
40 1 1756
40 1 586
40 1 544
40 1 3388
40 1 3990
