user speed delay
1 1 482
1 1 476
1 1 488
1 1 655
1 1 490
1 1 486
1 1 477
1 1 453
1 1 726
1 1 518
1 1 549
1 1 483
1 1 502
1 1 701
1 1 528
1 1 541
1 1 538
1 1 456
1 1 678
1 1 517
1 1 509
1 1 496
1 1 517
1 2 702
1 2 488
1 2 493
1 2 507
1 2 493
1 2 767
1 2 530
1 2 688
1 2 487
1 2 476
1 2 685
1 2 472
1 2 452
1 2 473
1 2 511
1 2 709
1 2 523
1 2 489
1 2 473
1 2 534
1 2 670
1 2 484
1 2 484
1 2 454
1 2 477
1 4 704
1 4 614
1 4 638
1 4 477
1 4 531
1 4 755
1 4 522
1 4 499
1 4 462
1 4 503
1 4 749
1 4 528
1 4 523
1 4 526
1 4 591
1 4 733
1 4 569
1 4 594
1 4 487
1 4 485
1 4 703
1 4 516
1 4 603
1 4 645
1 4 484
1 6 689
1 6 496
1 6 491
1 6 477
1 6 461
1 6 706
1 6 479
1 6 508
1 6 486
1 6 484
1 6 738
1 6 549
1 6 644
1 6 543
1 6 662
1 6 704
1 6 592
1 6 510
1 6 694
1 6 371
1 6 691
1 6 487
1 6 626
1 6 499
1 6 564
1 8 686
1 8 617
1 8 519
1 8 641
1 8 706
1 8 420
1 8 700
1 8 601
1 8 747
1 8 422
1 8 473
1 8 725
1 8 651
1 8 678
1 8 382
1 8 520
1 8 885
1 8 715
1 8 409
1 8 486
1 8 613
1 1 556
1 1 464
1 1 479
1 1 424
1 1 422
1 1 3174
1 1 3572
1 1 2423
1 1 1234
1 1 851
1 1 584
1 1 450
1 1 464
1 1 421
1 1 420
1 1 575
1 1 458
1 1 456
1 1 439
1 1 425
1 1 604
1 1 459
1 1 483
1 1 454
1 1 446
1 2 594
1 2 783
1 2 424
1 2 428
1 2 469
1 2 564
1 2 441
1 2 490
1 2 469
1 2 447
1 2 603
1 2 506
1 2 692
1 2 420
1 2 477
1 2 627
1 2 463
1 2 423
1 2 454
1 2 603
1 2 683
1 2 485
1 2 572
1 2 481
1 2 453
1 4 583
1 4 513
1 4 576
1 4 422
1 4 487
1 4 600
1 4 502
1 4 871
1 4 908
1 4 553
1 4 641
1 4 1054
1 4 1079
1 4 712
1 4 362
1 4 601
1 4 521
1 4 710
1 4 656
1 4 295
1 4 612
1 4 541
1 4 1180
1 4 1180
1 4 825
1 4 480
1 6 677
1 6 701
1 6 435
1 6 566
1 6 742
1 6 467
1 6 599
1 6 637
1 6 988
1 6 700
1 6 660
1 6 401
1 6 626
1 6 620
1 6 850
1 6 607
1 6 622
1 6 383
1 6 597
1 6 586
1 6 964
1 6 680
1 6 649
1 6 387
1 6 637
1 6 623
1 6 626
1 6 376
1 6 591
1 8 578
1 8 626
1 8 784
1 8 555
1 8 744
1 8 528
1 8 647
1 8 635
1 8 1046
1 8 796
1 8 838
1 8 599
1 8 399
1 8 591
1 8 754
1 8 1262
1 8 1020
1 8 787
