user speed delay
1 1 1332
1 1 1208
1 1 1151
1 1 1371
1 1 1338
1 1 1365
1 1 1211
1 1 1145
1 1 1339
1 1 1341
1 1 1255
1 1 1154
1 1 1357
1 1 1311
1 1 1268
1 2 1356
1 2 701
1 2 1151
1 2 579
1 2 1303
1 2 705
1 2 1373
1 2 732
1 2 1286
1 2 717
1 2 1095
1 2 509
1 2 1339
1 2 680
1 2 1127
1 2 556
1 2 1278
1 2 676
1 4 1411
1 4 1013
1 4 681
1 4 1170
1 4 833
1 4 517
1 4 203
1 4 1320
1 4 932
1 4 616
1 4 295
1 4 1228
1 4 892
1 4 562
1 4 1437
1 4 1053
1 4 730
1 4 1179
1 4 840
1 4 513
1 4 197
1 5 1447
1 5 1128
1 5 867
1 5 593
1 5 1316
1 5 1035
1 5 766
1 5 489
1 5 1402
1 5 1079
1 5 810
1 5 545
1 5 1349
1 5 1067
1 5 800
1 5 534
1 5 1389
1 5 1051
1 5 788
1 5 523
1 5 1268
1 5 990
1 5 706
1 5 426
1 6 1404
1 6 1096
1 6 861
1 6 625
1 6 385
1 6 1213
1 6 898
1 6 641
1 6 406
1 6 1429
1 6 1182
1 6 947
1 6 723
1 6 492
1 6 1287
1 6 992
1 6 750
1 6 510
1 6 274
1 8 1354
1 8 1091
1 8 882
1 8 678
1 8 478
1 8 1392
1 8 1123
1 8 929
1 8 727
1 8 528
1 8 1340
1 8 1082
1 8 891
1 8 698
1 8 505
1 10 1438
1 10 1210
1 10 1047
1 10 863
1 10 685
1 10 498
1 10 1395
1 10 1149
1 10 973
1 10 813
1 10 633
1 10 449
1 10 1379
1 10 1135
1 10 965
1 10 790
1 10 623
1 10 434
2 1 1361
2 1 1271
2 1 1252
2 1 1224
2 1 1165
2 1 1442
2 1 1287
2 1 1304
2 1 1370
2 1 1322
2 1 1371
2 1 1277
2 1 1222
2 1 1174
2 1 1179
2 2 1277
2 2 617
2 2 1089
2 2 518
2 2 1293
2 2 712
2 2 1407
2 2 748
2 2 1202
2 2 641
2 2 1442
2 2 865
2 2 1238
2 2 587
2 2 1313
2 2 730
2 2 1199
2 2 614
2 4 1266
2 4 836
2 4 503
2 4 1209
2 4 883
2 4 561
2 4 238
2 4 1376
2 4 934
2 4 615
2 4 1333
2 4 968
2 4 647
2 4 1278
2 4 882
2 4 536
2 4 1286
2 4 951
2 4 601
2 5 1460
2 5 1134
2 5 840
2 5 581
2 5 1350
2 5 1088
2 5 823
2 5 551
2 5 1342
2 5 973
2 5 691
2 5 408
2 5 1366
2 5 1087
2 5 821
2 5 553
2 5 1262
2 5 924
2 5 655
2 5 388
2 5 1185
2 5 900
2 5 626
2 5 362
2 6 1475
2 6 1153
2 6 910
2 6 677
2 6 441
2 6 1350
2 6 1025
2 6 764
2 6 526
2 6 1368
2 6 1129
2 6 894
2 6 648
2 6 408
2 6 1413
2 6 1057
2 6 793
2 6 550
2 6 1335
2 6 1100
2 6 869
2 6 620
2 6 388
2 8 1348
2 8 1031
2 8 829
2 8 620
2 8 402
2 8 1326
2 8 1030
2 8 825
2 8 621
2 8 420
2 8 1264
2 8 986
2 8 772
2 8 577
2 8 382
2 10 1462
2 10 1186
2 10 1003
2 10 816
2 10 641
2 10 451
2 10 1445
2 10 1169
2 10 1003
2 10 820
2 10 633
2 10 437
2 10 1207
2 10 938
2 10 763
2 10 571
2 10 397
2 10 206
3 1 1437
3 1 1334
3 1 1297
3 1 1223
3 1 1218
3 1 1246
3 1 1167
3 1 1352
3 1 1332
3 1 1304
3 1 1335
3 1 1231
3 1 1213
3 1 1237
3 1 1188
3 2 1417
3 2 776
3 2 1291
3 2 727
3 2 1266
3 2 703
3 2 1425
3 2 780
3 2 1323
3 2 758
3 2 1241
3 2 660
3 2 1266
3 2 587
3 2 1397
3 2 806
3 2 1265
3 2 682
3 4 1245
3 4 856
3 4 528
3 4 1215
3 4 890
3 4 545
3 4 231
3 4 1365
3 4 973
3 4 659
3 4 1361
3 4 1030
3 4 713
3 4 386
3 4 1269
3 4 849
3 4 509
3 4 1230
3 4 898
3 4 551
3 5 1439
3 5 1064
3 5 798
3 5 527
3 5 1268
3 5 991
3 5 725
3 5 453
3 5 1494
3 5 1108
3 5 827
3 5 561
3 5 1318
3 5 993
3 5 719
3 5 453
3 5 1467
3 5 1061
3 5 774
3 5 495
3 5 1307
3 5 1014
3 5 735
3 5 468
3 6 1385
3 6 1021
3 6 761
3 6 512
3 6 1247
3 6 986
3 6 738
3 6 482
3 6 1266
3 6 944
3 6 690
3 6 458
3 6 1345
3 6 1096
3 6 862
3 6 629
3 6 381
3 6 1386
3 6 1060
3 6 813
3 6 570
3 6 1384
3 6 1121
3 6 871
3 6 617
3 6 369
3 8 1348
3 8 1072
3 8 869
3 8 677
3 8 480
3 8 1306
3 8 991
3 8 764
3 8 554
3 8 338
3 8 1329
3 8 1014
3 8 784
3 8 593
3 8 385
3 10 1471
3 10 1200
3 10 1027
3 10 837
3 10 659
3 10 476
3 10 1284
3 10 946
3 10 758
3 10 572
3 10 398
3 10 213
3 10 1451
3 10 1166
3 10 947
3 10 755
3 10 574
3 10 397
4 1 1308
4 1 1156
4 1 1385
4 1 1315
4 1 1304
4 1 1268
4 1 1223
4 1 1213
4 1 1201
4 1 1352
4 1 1272
4 1 1180
4 1 1239
4 1 1271
4 1 1262
4 2 1299
4 2 613
4 2 1381
4 2 795
4 2 1286
4 2 656
4 2 1303
4 2 634
4 2 1404
4 2 837
4 2 1343
4 2 732
4 2 1278
4 2 625
4 2 1375
4 2 790
4 2 1270
4 2 639
4 4 1401
4 4 951
4 4 614
4 4 1326
4 4 1001
4 4 663
4 4 1404
4 4 990
4 4 661
4 4 1357
4 4 1026
4 4 676
4 4 1377
4 4 943
4 4 606
4 4 1367
4 4 1025
4 4 689
4 5 1392
4 5 998
4 5 706
4 5 432
4 5 1290
4 5 999
4 5 720
4 5 433
4 5 1372
4 5 989
4 5 705
4 5 444
4 5 1318
4 5 1033
4 5 772
4 5 497
4 5 1430
4 5 1010
4 5 709
4 5 431
4 5 1237
4 5 930
4 5 643
4 5 365
4 6 1487
4 6 1092
4 6 849
4 6 603
4 6 1483
4 6 1218
4 6 975
4 6 722
4 6 486
4 6 1352
4 6 996
4 6 752
4 6 497
4 6 1360
4 6 1115
4 6 872
4 6 621
4 6 371
4 6 1306
4 6 934
4 6 694
4 6 460
4 6 1286
4 6 1018
4 6 782
4 6 539
4 8 1355
4 8 1041
4 8 841
4 8 631
4 8 410
4 8 1415
4 8 1100
4 8 898
4 8 694
4 8 486
4 8 1466
4 8 1117
4 8 879
4 8 684
4 8 481
4 10 1350
4 10 1028
4 10 835
4 10 647
4 10 449
4 10 264
4 10 1455
4 10 1178
4 10 993
4 10 816
4 10 637
4 10 451
4 10 1313
4 10 970
4 10 798
4 10 600
4 10 381
5 1 1419
5 1 1387
5 1 1154
5 1 1408
5 1 1318
5 1 1308
5 1 1242
5 1 1251
5 1 1269
5 1 1416
5 1 1316
5 1 1237
5 1 1247
5 1 1307
5 1 1221
5 2 1436
5 2 770
5 2 1262
5 2 649
5 2 1335
5 2 730
5 2 1302
5 2 640
5 2 1428
5 2 808
5 2 1353
5 2 751
5 2 1424
5 2 742
5 2 1296
5 2 726
5 2 1238
5 2 653
5 4 1412
5 4 948
5 4 625
5 4 1311
5 4 956
5 4 609
5 4 1570
5 4 1132
5 4 801
5 4 1265
5 4 916
5 4 534
5 4 1275
5 4 844
5 4 499
5 4 1240
5 4 899
5 4 559
5 5 1533
5 5 1104
5 5 804
5 5 519
5 5 1352
5 5 1068
5 5 778
5 5 509
5 5 1399
5 5 1000
5 5 718
5 5 409
5 5 1173
5 5 862
5 5 584
5 5 304
5 5 1448
5 5 1095
5 5 798
5 5 522
5 5 1300
5 5 997
5 5 714
5 5 432
5 6 1362
5 6 1006
5 6 738
5 6 485
5 6 1283
5 6 1022
5 6 779
5 6 521
5 6 1402
5 6 1038
5 6 764
5 6 526
5 6 1342
5 6 1091
5 6 827
5 6 553
5 6 1386
5 6 1017
5 6 748
5 6 494
5 6 1298
5 6 1043
5 6 769
5 6 518
5 8 1560
5 8 1243
5 8 1004
5 8 783
5 8 559
5 8 1480
5 8 1129
5 8 923
5 8 707
5 8 493
5 8 1396
5 8 1114
5 8 922
5 8 730
5 8 538
5 10 1419
5 10 1150
5 10 986
5 10 818
5 10 648
5 10 465
5 10 1283
5 10 991
5 10 806
5 10 624
5 10 452
5 10 257
5 10 1375
5 10 1081
5 10 900
5 10 697
5 10 497
5 10 318
6 1 1482
6 1 1429
6 1 1433
6 1 1350
6 1 1351
6 1 1316
6 1 1302
6 1 1417
6 1 1222
6 1 1309
6 1 1503
6 1 1430
6 1 1411
6 1 1360
6 1 1317
6 2 1408
6 2 752
6 2 1327
6 2 760
6 2 1376
6 2 789
6 2 1383
6 2 673
6 2 1406
6 2 833
6 2 1286
6 2 715
6 2 1527
6 2 816
6 2 1326
6 2 752
6 2 1251
6 2 652
6 4 1341
6 4 891
6 4 556
6 4 1327
6 4 985
6 4 657
6 4 1388
6 4 927
6 4 578
6 4 1271
6 4 842
6 4 508
6 4 1463
6 4 969
6 4 626
6 4 1378
6 4 1032
6 4 660
6 5 1509
6 5 1093
6 5 809
6 5 532
6 5 1400
6 5 1080
6 5 809
6 5 535
6 5 1284
6 5 876
6 5 574
6 5 293
6 5 1426
6 5 1137
6 5 842
6 5 569
6 5 1417
6 5 1026
6 5 735
6 5 469
6 5 1338
6 5 1062
6 5 789
6 5 523
6 6 1403
6 6 1038
6 6 767
6 6 537
6 6 1359
6 6 1092
6 6 851
6 6 576
6 6 1288
6 6 929
6 6 671
6 6 419
6 6 1290
6 6 1042
6 6 771
6 6 536
6 6 1535
6 6 1147
6 6 846
6 6 589
6 6 1368
6 6 1104
6 6 846
6 6 590
6 8 1352
6 8 965
6 8 758
6 8 553
6 8 325
6 8 1526
6 8 1206
6 8 975
6 8 769
6 8 559
6 8 1320
6 8 977
6 8 762
6 8 554
6 8 339
6 10 1335
6 10 1025
6 10 824
6 10 646
6 10 460
6 10 273
6 10 1474
6 10 1162
6 10 989
6 10 813
6 10 632
6 10 450
6 10 1392
6 10 1083
6 10 892
6 10 717
6 10 522
6 10 322
7 1 1352
7 1 1317
7 1 1279
7 1 1297
7 1 1315
7 1 1367
7 1 1227
7 1 1237
7 1 1303
7 1 1302
7 1 1499
7 1 1384
7 1 1452
7 1 1495
7 1 1521
7 2 1315
7 2 632
7 2 1191
7 2 589
7 2 1369
7 2 771
7 2 1400
7 2 713
7 2 1209
7 2 626
7 2 1389
7 2 771
7 2 1259
7 2 590
7 2 1454
7 2 854
7 2 1358
7 2 768
7 4 1580
7 4 1130
7 4 793
7 4 1346
7 4 999
7 4 671
7 4 1604
7 4 1106
7 4 767
7 4 1255
7 4 908
7 4 560
7 4 1352
7 4 934
7 4 577
7 4 1286
7 4 959
7 4 635
7 5 1498
7 5 1091
7 5 782
7 5 493
7 5 1320
7 5 1020
7 5 743
7 5 452
7 5 1440
7 5 1024
7 5 728
7 5 424
7 5 1204
7 5 914
7 5 627
7 5 329
7 5 1469
7 5 1059
7 5 770
7 5 467
7 5 1218
7 5 948
7 5 649
7 5 340
7 6 1359
7 6 994
7 6 730
7 6 460
7 6 1349
7 6 1096
7 6 820
7 6 582
7 6 1559
7 6 1206
7 6 972
7 6 735
7 6 1381
7 6 1130
7 6 894
7 6 670
7 6 1334
7 6 984
7 6 717
7 6 458
7 6 1286
7 6 1032
7 6 769
7 6 519
7 8 1344
7 8 1017
7 8 817
7 8 600
7 8 394
7 8 1432
7 8 1096
7 8 887
7 8 688
7 8 491
7 8 1344
7 8 1023
7 8 828
7 8 630
7 8 412
7 10 1597
7 10 1291
7 10 1089
7 10 907
7 10 725
7 10 551
7 10 1470
7 10 1108
7 10 905
7 10 702
7 10 498
7 10 1450
7 10 1164
7 10 993
7 10 814
7 10 645
7 10 478
8 1 1293
8 1 1210
8 1 1268
8 1 1252
8 1 1205
8 1 1499
8 1 1405
8 1 1497
8 1 1430
8 1 1409
8 1 1495
8 1 1572
8 1 1327
8 1 1345
8 1 1439
8 2 1312
8 2 598
8 2 1297
8 2 705
8 2 1213
8 2 618
8 2 1485
8 2 790
8 2 1317
8 2 722
8 2 1226
8 2 648
8 2 1482
8 2 838
8 2 1463
8 2 873
8 2 1230
8 2 625
8 4 1447
8 4 997
8 4 652
8 4 1444
8 4 1091
8 4 722
8 4 1389
8 4 929
8 4 576
8 4 1335
8 4 988
8 4 636
8 4 1460
8 4 1024
8 4 684
8 4 1423
8 4 1073
8 4 742
8 5 1514
8 5 1078
8 5 771
8 5 482
8 5 1356
8 5 1072
8 5 789
8 5 503
8 5 1612
8 5 1172
8 5 894
8 5 586
8 5 1380
8 5 1068
8 5 772
8 5 474
8 5 1348
8 5 957
8 5 665
8 5 362
8 5 1557
8 5 1253
8 5 934
8 5 658
8 6 1408
8 6 1061
8 6 812
8 6 557
8 6 1437
8 6 1166
8 6 914
8 6 658
8 6 1581
8 6 1212
8 6 957
8 6 688
8 6 1627
8 6 1362
8 6 1110
8 6 837
8 6 1446
8 6 1079
8 6 815
8 6 544
8 6 1444
8 6 1150
8 6 877
8 6 596
8 8 1599
8 8 1263
8 8 1019
8 8 816
8 8 617
8 8 1400
8 8 1061
8 8 851
8 8 640
8 8 401
8 8 1318
8 8 993
8 8 779
8 8 552
8 8 334
8 10 1562
8 10 1269
8 10 1083
8 10 903
8 10 697
8 10 515
8 10 1551
8 10 1263
8 10 1051
8 10 856
8 10 652
8 10 1328
8 10 999
8 10 814
8 10 614
8 10 438
9 1 1532
9 1 1469
9 1 1389
9 1 1405
9 1 1319
9 1 1523
9 1 1397
9 1 1530
9 1 1534
9 1 1616
9 1 1392
9 1 1452
9 1 1417
9 1 1439
9 1 1390
9 2 1504
9 2 803
9 2 1710
9 2 1122
9 2 1347
9 2 754
9 2 1316
9 2 593
9 2 1394
9 2 806
9 2 1348
9 2 729
9 2 1523
9 2 855
9 2 1390
9 2 777
9 2 1335
9 2 741
9 4 1407
9 4 998
9 4 662
9 4 1240
9 4 890
9 4 530
9 4 1541
9 4 1089
9 4 734
9 4 1287
9 4 884
9 4 522
9 4 1438
9 4 988
9 4 631
9 4 1440
9 4 1083
9 4 758
9 5 1547
9 5 1145
9 5 840
9 5 564
9 5 1386
9 5 1011
9 5 706
9 5 387
9 5 1473
9 5 1054
9 5 745
9 5 454
9 5 1306
9 5 1004
9 5 710
9 5 423
9 5 1501
9 5 1110
9 5 815
9 5 535
9 5 1387
9 5 1096
9 5 820
9 5 524
9 6 1362
9 6 968
9 6 698
9 6 441
9 6 1300
9 6 1011
9 6 748
9 6 500
9 6 1767
9 6 1422
9 6 1169
9 6 902
9 6 1304
9 6 1048
9 6 818
9 6 576
9 6 1470
9 6 1127
9 6 878
9 6 618
9 6 1685
9 6 1439
9 6 1193
9 6 941
9 6 705
9 8 1665
9 8 1373
9 8 1160
9 8 950
9 8 737
9 8 1356
9 8 963
9 8 756
9 8 554
9 8 334
9 8 1350
9 8 1023
9 8 814
9 8 614
9 8 394
9 10 1397
9 10 1119
9 10 935
9 10 750
9 10 567
9 10 385
9 10 1480
9 10 1159
9 10 983
9 10 808
9 10 642
9 10 475
9 10 1404
9 10 1089
9 10 863
9 10 649
9 10 442
10 1 1579
10 1 1453
10 1 1452
10 1 1384
10 1 1429
10 1 1390
10 1 1341
10 1 1355
10 1 1418
10 1 1412
10 1 1567
10 1 1522
10 1 1645
10 1 1452
10 1 1350
10 2 1549
10 2 860
10 2 1487
10 2 892
10 2 1466
10 2 856
10 2 1475
10 2 793
10 2 1396
10 2 817
10 2 1310
10 2 731
10 2 1581
10 2 805
10 2 1435
10 2 849
10 2 1393
10 2 788
10 4 1761
10 4 1326
10 4 1001
10 4 1547
10 4 1220
10 4 892
10 4 560
10 4 1601
10 4 1032
10 4 654
10 4 1247
10 4 905
10 4 554
10 4 1268
10 4 826
10 4 442
10 4 1385
10 4 960
