user speed delay
1 1 1079
1 1 1052
1 1 1045
1 1 1286
1 1 1270
1 1 1079
1 1 1071
1 1 1070
1 1 1046
1 1 1290
1 1 1077
1 1 1056
1 1 1052
1 1 1292
1 1 1271
1 2 548
1 2 1033
1 2 509
1 2 1257
1 2 732
1 2 583
1 2 1092
1 2 568
1 2 1046
1 2 523
1 2 1172
1 2 565
1 2 1295
1 2 766
1 2 1238
1 2 709
1 4 807
1 4 530
1 4 252
1 4 1245
1 4 966
1 4 690
1 4 415
1 4 790
1 4 512
1 4 237
1 4 1224
1 4 952
1 4 676
1 4 402
1 4 1103
1 4 825
1 4 548
1 4 273
1 4 1262
1 4 983
1 4 709
1 4 433
1 6 1220
1 6 975
1 6 781
1 6 592
1 6 409
1 6 213
1 6 1147
1 6 864
1 6 661
1 6 467
1 6 274
1 6 1205
1 6 1014
1 6 829
1 6 643
1 6 454
1 6 265
1 8 973
1 8 827
1 8 682
1 8 538
1 8 389
1 8 242
1 8 969
1 8 820
1 8 671
1 8 528
1 8 380
1 8 233
1 8 942
1 8 792
1 8 648
1 8 502
1 8 356
1 8 205
1 10 982
1 10 846
1 10 727
1 10 610
1 10 490
1 10 363
1 10 244
1 10 127
1 10 987
1 10 854
1 10 737
1 10 619
1 10 499
1 10 378
1 10 250
1 10 132
1 10 1163
1 10 968
1 10 821
1 10 704
1 10 586
1 10 466
1 10 336
1 10 212
2 1 1261
2 1 1209
2 1 1183
2 1 1168
2 1 1172
2 1 1190
2 1 1138
2 1 1160
2 1 1117
2 1 1090
2 1 1137
2 1 1057
2 1 1280
2 1 1265
2 1 1264
2 2 1185
2 2 626
2 2 1101
2 2 577
2 2 1062
2 2 541
2 2 1258
2 2 701
2 2 1186
2 2 661
2 2 1140
2 2 611
2 2 1272
2 2 712
2 2 1196
2 2 665
2 2 1158
2 2 631
2 4 1237
2 4 933
2 4 660
2 4 382
2 4 1106
2 4 825
2 4 546
2 4 273
2 4 1208
2 4 903
2 4 619
2 4 349
2 4 1076
2 4 797
2 4 521
2 4 247
2 4 1169
2 4 833
2 4 543
2 4 263
2 4 1238
2 4 949
2 4 673
2 4 394
2 6 1161
2 6 925
2 6 738
2 6 546
2 6 359
2 6 164
2 6 1270
2 6 1051
2 6 862
2 6 671
2 6 480
2 6 294
2 6 1226
2 6 1005
2 6 815
2 6 626
2 6 438
2 6 246
2 8 1169
2 8 987
2 8 839
2 8 692
2 8 542
2 8 393
2 8 241
2 8 1191
2 8 1011
2 8 858
2 8 710
2 8 561
2 8 411
2 8 258
2 8 1203
2 8 1021
2 8 870
2 8 719
2 8 573
2 8 424
2 8 276
2 10 1214
2 10 1043
2 10 902
2 10 767
2 10 647
2 10 512
2 10 385
2 10 268
2 10 1140
2 10 972
2 10 843
2 10 714
2 10 592
2 10 468
2 10 341
2 10 220
2 10 1221
2 10 1062
2 10 932
2 10 809
2 10 686
2 10 560
2 10 433
2 10 311
5 1 1140
5 1 1281
5 1 1264
5 1 1228
5 1 1207
5 1 1311
5 1 1228
5 1 1167
5 1 1164
5 1 1091
5 1 1159
5 1 1285
5 1 1246
5 1 1226
5 1 1211
5 2 1339
5 2 710
5 2 1191
5 2 660
5 2 1161
5 2 623
5 2 1269
5 2 676
5 2 1144
5 2 612
5 2 1106
5 2 552
5 2 1152
5 2 558
5 2 1078
5 2 547
5 2 1283
5 2 745
5 4 1242
5 4 896
5 4 614
5 4 332
5 4 1290
5 4 985
5 4 713
5 4 436
5 4 1206
5 4 826
5 4 555
5 4 277
5 4 1235
5 4 944
5 4 664
5 4 384
5 4 1353
5 4 992
5 4 710
5 4 429
5 4 1165
5 4 852
5 4 571
5 4 296
5 6 1285
5 6 996
5 6 806
5 6 617
5 6 427
5 6 1230
5 6 977
5 6 784
5 6 591
5 6 400
5 6 202
5 6 1202
5 6 943
5 6 751
5 6 559
5 6 364
5 6 167
5 8 1163
5 8 928
5 8 772
5 8 626
5 8 476
5 8 328
5 8 178
5 8 1255
5 8 1010
5 8 857
5 8 709
5 8 555
5 8 411
5 8 262
5 8 1239
5 8 1027
5 8 873
5 8 713
5 8 563
5 8 406
5 8 252
5 10 1260
5 10 1070
5 10 925
5 10 786
5 10 658
5 10 523
5 10 388
5 10 257
5 10 1166
5 10 952
5 10 798
5 10 678
5 10 548
5 10 428
5 10 297
5 10 174
5 10 1335
5 10 1141
5 10 1008
5 10 881
5 10 741
5 10 607
5 10 480
5 10 359
10 1 1431
10 1 1507
10 1 1381
10 1 1342
10 1 1547
10 1 1287
10 1 1335
10 1 1405
10 1 1599
10 1 1385
10 1 1402
10 1 1465
10 1 1287
10 1 1427
10 1 1479
10 2 1445
10 2 679
10 2 1185
10 2 611
10 2 1403
10 2 775
10 2 1470
10 2 817
10 2 1255
10 2 622
10 2 1312
10 2 739
10 2 1265
10 2 534
10 2 1304
10 2 745
10 2 1403
10 2 841
10 4 1460
10 4 1055
10 4 757
10 4 477
10 4 1410
10 4 1050
10 4 768
10 4 485
10 4 1605
10 4 1069
10 4 785
10 4 503
10 4 1349
10 4 1041
10 4 757
10 4 473
10 4 1204
10 4 821
10 4 509
10 4 216
10 4 1222
10 4 905
10 4 624
10 4 337
10 6 1375
10 6 957
10 6 713
10 6 499
10 6 289
10 6 1396
10 6 1076
10 6 886
10 6 676
10 6 468
10 6 1606
10 6 1073
10 6 864
10 6 674
10 6 1665
10 6 1438
10 6 1205
10 6 1001
10 6 803
10 8 1606
10 8 1171
10 8 995
10 8 825
10 8 657
10 8 480
10 8 1663
10 8 1327
10 8 1167
10 8 998
10 8 834
10 8 663
10 8 1691
10 8 1343
10 8 1171
10 8 1003
10 8 828
10 8 661
10 10 1753
10 10 1521
10 10 1369
10 10 1238
10 10 1097
10 10 951
10 10 811
10 10 1772
10 10 1405
10 10 1278
10 10 1134
10 10 1006
10 10 876
10 10 736
10 10 1692
10 10 1351
10 10 1128
10 10 977
10 10 851
10 10 710
10 10 570
20 1 2678
20 1 2020
20 1 1755
20 1 2801
20 1 2816
20 1 2262
20 1 2060
20 1 2389
20 1 3145
20 1 3415
20 1 3379
20 1 2571
20 1 2112
20 1 2517
20 1 3324
20 2 2866
20 2 1658
20 2 2988
20 2 2340
20 2 2586
20 2 1936
20 2 2815
20 2 1327
20 2 2333
20 2 1160
20 2 2845
20 2 2121
20 2 2376
20 2 1053
20 2 3039
20 2 1980
20 2 2375
20 4 2293
20 4 1604
20 4 1244
20 4 2589
20 4 1847
20 4 3123
20 4 2222
20 4 1844
20 4 2031
20 4 1481
20 4 1187
20 4 1654
20 4 1020
20 4 563
20 4 2946
20 4 1961
20 4 1679
20 6 5261
20 6 2758
20 6 2547
20 6 2096
20 6 1896
20 8 2194
20 8 1438
20 8 1202
20 8 953
20 8 2727
20 8 1998
20 8 1830
20 8 1674
20 8 2030
20 8 1353
20 8 1190
20 8 1037
20 8 842
20 8 2472
