user speed delay
1 1 1262
1 1 1235
1 1 1220
1 1 1232
1 1 1203
1 1 1264
1 1 1260
1 1 1234
1 1 1221
1 1 1210
1 1 1262
1 1 1245
1 1 1232
1 1 1206
1 1 1204
1 2 741
1 2 1224
1 2 699
1 2 1189
1 2 667
1 2 738
1 2 1209
1 2 684
1 2 1181
1 2 655
1 2 722
1 2 1218
1 2 686
1 2 1169
1 2 638
1 4 956
1 4 678
1 4 405
1 4 1155
1 4 877
1 4 599
1 4 324
1 4 981
1 4 704
1 4 430
1 4 1144
1 4 868
1 4 592
1 4 319
1 4 975
1 4 697
1 4 417
1 4 1127
1 4 849
1 4 569
1 4 292
1 6 1292
1 6 1094
1 6 906
1 6 718
1 6 523
1 6 327
1 6 1009
1 6 819
1 6 635
1 6 442
1 6 251
1 6 1064
1 6 870
1 6 675
1 6 481
1 6 289
1 8 1109
1 8 939
1 8 788
1 8 636
1 8 484
1 8 336
1 8 1067
1 8 914
1 8 761
1 8 615
1 8 468
1 8 317
1 8 1143
1 8 987
1 8 836
1 8 685
1 8 532
1 8 387
1 10 1125
1 10 999
1 10 883
1 10 764
1 10 643
1 10 515
1 10 391
1 10 266
1 10 1134
1 10 995
1 10 873
1 10 757
1 10 623
1 10 501
1 10 383
1 10 1090
1 10 970
1 10 845
1 10 728
1 10 608
1 10 477
1 10 360
1 10 240
2 1 1195
2 1 1142
2 1 1117
2 1 1108
2 1 1107
2 1 1128
2 1 1087
2 1 1058
2 1 1282
2 1 1247
2 1 1312
2 1 1274
2 1 1276
2 1 1253
2 1 1247
2 2 1298
2 2 743
2 2 1189
2 2 666
2 2 1153
2 2 628
2 2 1240
2 2 686
2 2 1157
2 2 636
2 2 1118
2 2 592
2 2 1300
2 2 747
2 2 1247
2 2 718
2 2 1191
2 2 668
2 4 1244
2 4 933
2 4 655
2 4 383
2 4 1116
2 4 838
2 4 563
2 4 288
2 4 1249
2 4 932
2 4 652
2 4 374
2 4 1099
2 4 818
2 4 545
2 4 268
2 4 1230
2 4 923
2 4 645
2 4 364
2 4 1091
2 4 812
2 4 534
2 4 257
2 6 1245
2 6 1013
2 6 818
2 6 631
2 6 442
2 6 251
2 6 1220
2 6 990
2 6 802
2 6 613
2 6 422
2 6 232
2 6 1311
2 6 1063
2 6 870
2 6 680
2 6 489
2 6 296
2 8 1215
2 8 1032
2 8 882
2 8 729
2 8 584
2 8 434
2 8 284
2 8 1195
2 8 1011
2 8 859
2 8 712
2 8 561
2 8 412
2 8 254
2 8 1292
2 8 1110
2 8 960
2 8 810
2 8 657
2 8 510
2 8 358
2 10 1284
2 10 1131
2 10 1003
2 10 887
2 10 763
2 10 639
2 10 525
2 10 403
2 10 279
2 10 1215
2 10 1060
2 10 931
2 10 794
2 10 677
2 10 548
2 10 429
2 10 314
2 10 198
2 10 1303
2 10 1145
2 10 1011
2 10 878
2 10 759
2 10 640
2 10 500
2 10 370
5 1 1204
5 1 1104
5 1 1079
5 1 1082
5 1 1069
5 1 1144
5 1 1080
5 1 1295
5 1 1271
5 1 1262
5 1 1245
5 1 1186
5 1 1172
5 1 1126
5 1 1098
5 2 1106
5 2 516
5 2 1325
5 2 764
5 2 1225
5 2 642
5 2 1315
5 2 731
5 2 1230
5 2 699
5 2 1189
5 2 588
5 2 1118
5 2 512
5 2 1258
5 2 721
5 2 1212
5 2 685
5 4 1322
5 4 981
5 4 701
5 4 424
5 4 1218
5 4 920
5 4 644
5 4 363
5 4 1239
5 4 891
5 4 611
5 4 331
5 4 1301
5 4 1002
5 4 720
5 4 447
5 4 1153
5 4 817
5 4 539
5 4 258
5 4 1261
5 4 935
5 4 658
5 4 370
5 6 1227
5 6 979
5 6 779
5 6 577
5 6 379
5 6 1306
5 6 1054
5 6 863
5 6 671
5 6 471
5 6 1257
5 6 1006
5 6 819
5 6 623
5 6 420
5 8 1180
5 8 959
5 8 806
5 8 654
5 8 502
5 8 352
5 8 171
5 8 1191
5 8 973
5 8 814
5 8 652
5 8 500
5 8 352
5 8 195
5 8 1408
5 8 1184
5 8 1011
5 8 848
5 8 679
5 8 511
5 10 1216
5 10 943
5 10 795
5 10 662
5 10 529
5 10 402
5 10 262
5 10 1381
5 10 1194
5 10 1066
5 10 942
5 10 807
5 10 666
5 10 514
5 10 377
5 10 1353
5 10 1125
5 10 959
5 10 820
5 10 676
5 10 492
5 10 341
10 1 1414
10 1 1185
10 1 1513
10 1 1270
10 1 1200
10 1 1601
10 1 1298
10 1 1335
10 1 1460
10 1 1496
10 1 1607
10 1 1647
10 1 1728
10 1 1770
10 1 1303
10 2 1523
10 2 852
10 2 1448
10 2 863
10 2 1206
10 2 666
10 2 1370
10 2 653
10 2 1286
10 2 654
10 2 1526
10 2 953
10 2 1635
10 2 834
10 2 1400
10 2 768
10 2 1429
10 2 872
10 4 1789
10 4 1170
10 4 891
10 4 613
10 4 1666
10 4 1316
10 4 1021
10 4 730
10 4 1810
10 4 1393
10 4 1106
10 4 826
10 4 1792
10 4 1400
10 4 1109
10 4 824
10 4 1715
10 4 1280
10 4 988
10 4 704
10 4 1883
10 4 1561
10 4 1270
10 4 980
10 6 1797
10 6 1479
10 6 1256
10 6 1039
10 6 847
10 6 2279
10 6 1582
10 6 1382
10 6 1178
10 6 971
10 6 1783
10 6 1486
10 6 1262
10 6 1027
10 6 833
10 8 2003
10 8 1524
10 8 1353
10 8 1195
10 8 1031
10 8 824
10 8 1797
10 8 1414
10 8 1269
10 8 1115
10 8 954
10 8 773
10 8 2049
10 8 1551
10 8 1385
10 8 1224
10 8 1060
10 10 1685
10 10 1270
10 10 1126
10 10 987
10 10 834
10 10 695
10 10 1748
10 10 1331
10 10 1147
10 10 1006
10 10 878
10 10 732
10 10 1750
10 10 1368
10 10 1230
10 10 1095
10 10 967
10 10 818
10 10 535
20 1 2690
20 1 2475
20 1 2514
20 1 2488
20 1 2542
20 1 3211
20 1 3513
20 1 3601
20 1 2317
20 1 2972
20 1 2159
20 1 1727
20 1 2494
20 1 2724
20 1 3019
20 2 3143
20 2 1953
20 2 2378
20 2 3155
20 2 2064
20 2 4349
20 2 3147
20 2 2005
20 2 3610
20 2 2726
20 2 1397
20 2 2944
20 2 2032
20 2 2593
20 2 3430
20 2 3204
20 2 2201
20 4 2642
20 4 1768
20 4 1361
20 4 3276
20 4 2209
20 4 2074
20 4 1249
20 4 2410
20 4 1927
20 4 3441
20 4 3145
20 4 1612
20 4 1319
20 4 3600
20 4 3526
20 4 2510
20 6 2059
20 6 1293
20 6 1033
20 6 837
20 6 2948
20 6 2677
20 6 2485
20 6 2274
20 6 2079
20 6 3782
20 6 2581
20 6 2284
20 6 2027
20 6 3329
20 6 2646
20 6 3612
20 6 2730
20 6 2510
20 6 3077
20 6 2569
20 8 3752
20 8 2708
20 8 2550
20 8 2213
20 8 2654
20 8 2298
20 8 3601
20 8 2492
20 8 2331
20 8 1947
20 8 3187
20 8 2672
20 8 2841
20 8 1973
20 8 1743
20 8 2411
20 8 1752
20 8 1194
20 10 3944
20 10 2555
20 10 2102
20 10 3354
20 10 2616
20 10 3559
20 10 2576
20 10 2440
20 10 2281
20 10 1991
20 10 1866
20 10 1243
20 10 1088
20 10 935
20 10 776
20 10 521
20 10 388
30 1 4925
30 1 5195
30 1 4796
30 1 7992
30 1 6817
30 1 6814
30 1 5632
30 1 6293
30 1 5368
30 1 6316
30 1 9464
30 1 5936
30 1 6750
30 1 5962
30 1 3859
30 2 6457
30 2 4925
30 2 5607
30 2 6173
30 2 5946
30 2 14308
30 2 4209
30 2 6328
30 2 4708
30 2 5101
30 2 11614
30 2 4926
30 2 4585
30 2 3053
30 2 6347
30 4 6897
30 4 6279
30 4 5502
30 4 8444
30 4 5508
30 4 4631
30 4 3459
30 4 2888
30 4 5347
30 4 4635
30 4 6332
30 4 3785
30 4 7596
30 4 6246
30 4 6983
30 6 6151
30 6 3614
30 6 3222
30 6 3023
30 6 7477
30 6 7071
30 6 5838
30 6 4119
30 6 4939
30 6 8122
30 6 5403
30 6 4729
30 6 8968
30 6 4155
30 6 7835
30 6 5530
30 6 4515
30 8 8546
30 8 4589
30 8 7341
30 8 6947
30 8 5163
30 8 4815
30 8 6151
30 8 3322
30 8 3159
30 8 2899
30 8 2744
30 8 7041
30 8 4754
30 8 3594
30 8 5699
30 8 4728
30 8 4074
30 10 5162
30 10 3961
30 10 3554
30 10 4242
30 10 3477
30 10 7375
30 10 6023
30 10 4134
30 10 2643
30 10 4441
30 10 4083
30 10 5483
30 10 3715
30 10 6089
30 10 5100
30 10 7433
40 1 10165
40 1 4512
40 1 3212
40 1 3331
40 1 3773
40 2 6522
40 2 4812
40 2 4867
40 2 3493
40 2 5154
40 2 3257
40 2 8495
40 2 10799
40 2 9800
40 2 12757
40 2 3130
40 2 10082
40 2 10887
40 2 11699
40 2 11608
40 4 3303
40 4 8043
40 4 9844
40 4 9044
40 4 11343
40 4 3034
40 4 11704
40 4 8431
40 4 12494
40 4 8751
40 6 3466
40 6 10889
40 6 10413
40 6 11184
40 6 9398
40 6 3682
40 6 8981
40 6 9484
40 6 11733
40 6 12665
40 6 3157
40 6 10269
40 6 10530
40 6 9793
40 6 11725
40 8 3710
40 8 10255
40 8 10772
40 8 11550
40 8 10071
40 8 2471
40 8 10578
40 8 9721
40 8 10774
40 8 11323
40 10 15846
40 10 11190
40 10 9836
40 10 13009
40 10 13001
40 10 6468
40 10 10295
40 10 10553
40 10 12135
40 10 11293
40 10 1891
40 10 1367
40 10 933
40 10 9253
40 10 9790
50 1 3178
50 1 4827
50 1 9884
50 1 10145
50 1 11386
50 1 2844
50 1 11699
50 1 14730
50 1 10291
50 1 7587
50 1 3755
50 1 7568
50 1 12842
50 1 11084
50 1 10839
50 2 2236
50 2 1278
50 2 2726
50 2 7486
50 2 11935
50 2 2989
50 2 11984
50 2 11924
50 2 11094
50 2 11147
50 2 3139
50 2 2118
50 2 7222
50 2 9982
50 2 10800
50 4 5331
50 4 12784
50 4 12596
50 4 9894
50 4 12726
50 4 3558
50 4 6107
50 4 13346
50 4 10406
50 4 10444
50 6 3470
50 6 2788
50 6 18080
50 6 11287
50 6 11086
50 6 4616
50 6 10138
50 6 12038
50 6 13335
50 6 10111
50 6 4024
50 6 11422
50 6 35072
50 6 14134
50 6 12627
50 8 4145
50 8 13580
50 8 11474
50 8 12672
50 8 9825
50 10 5281
50 10 14250
50 10 14446
50 10 13343
50 10 14605
50 10 4936
50 10 14448
50 10 15054
50 10 14157
50 10 12899
