user speed delay
1 1 490
1 1 138
1 1 94
1 1 107
1 1 101
1 1 195
1 1 146
1 1 113
1 1 102
1 1 104
1 2 186
1 2 144
1 2 114
1 2 111
1 2 113
1 2 196
1 2 134
1 2 111
1 2 107
1 2 104
1 4 190
1 4 152
1 4 92
1 4 89
1 4 106
1 4 191
1 4 156
1 4 126
1 4 109
1 4 113
1 5 196
1 5 144
1 5 115
1 5 106
1 5 93
1 5 209
1 5 149
1 5 119
1 5 109
1 5 103
1 6 198
1 6 142
1 6 117
1 6 108
1 6 108
1 6 187
1 6 145
1 6 117
1 6 107
1 6 109
1 8 186
1 8 148
1 8 117
1 8 107
1 8 115
1 8 192
1 8 148
1 8 112
1 8 114
1 8 105
1 10 177
1 10 161
1 10 117
1 10 110
1 10 111
1 10 196
1 10 154
1 10 123
1 10 102
1 10 111
3 1 211
3 1 159
3 1 101
3 1 106
3 1 120
3 1 208
3 1 160
3 1 119
3 1 113
3 1 116
3 2 195
3 2 174
3 2 105
3 2 117
3 2 103
3 2 217
3 2 146
3 2 108
3 2 117
3 2 106
3 4 217
3 4 162
3 4 109
3 4 107
3 4 107
3 4 241
3 4 158
3 4 118
3 4 115
3 4 113
3 5 216
3 5 151
3 5 115
3 5 121
3 5 122
3 5 215
3 5 150
3 5 93
3 5 115
3 5 111
3 6 222
3 6 154
3 6 108
3 6 108
3 6 97
3 6 245
3 6 148
3 6 122
3 6 101
3 6 114
3 8 231
3 8 151
3 8 106
3 8 105
3 8 109
3 8 225
3 8 157
3 8 120
3 8 122
3 8 99
3 10 223
3 10 167
3 10 109
3 10 104
3 10 94
3 10 269
3 10 152
3 10 113
3 10 103
3 10 109
5 1 246
5 1 150
5 1 112
5 1 120
5 1 124
5 1 220
5 1 158
5 1 112
5 1 121
5 1 124
5 2 267
5 2 166
5 2 117
5 2 124
5 2 126
5 2 267
5 2 152
5 2 125
5 2 126
5 2 124
5 4 266
5 4 170
5 4 124
5 4 128
5 4 104
5 4 289
5 4 185
5 4 111
5 4 116
5 4 127
5 5 286
5 5 161
5 5 140
5 5 132
5 5 126
5 5 304
5 5 141
5 5 123
5 5 109
5 5 110
5 6 340
5 6 169
5 6 116
5 6 183
5 6 122
5 6 266
5 6 188
5 6 119
5 6 125
5 6 125
5 8 294
5 8 187
5 8 133
5 8 141
5 8 158
5 8 285
5 8 167
5 8 138
5 8 120
5 8 116
5 10 327
5 10 177
5 10 152
5 10 146
5 10 140
5 10 340
5 10 165
5 10 117
5 10 116
5 10 140
10 1 322
10 1 184
10 1 160
10 1 129
10 1 171
10 1 301
10 1 172
10 1 193
10 1 152
10 1 147
10 2 304
10 2 241
10 2 219
10 2 186
10 2 143
10 2 331
10 2 234
10 2 233
10 2 155
10 2 166
10 4 575
10 4 207
10 4 232
10 4 162
10 4 213
10 4 469
10 4 309
10 4 197
10 4 269
10 4 178
10 5 560
10 5 272
10 5 206
10 5 196
10 5 191
10 5 503
10 5 270
10 5 252
10 5 347
10 5 248
10 6 520
10 6 312
10 6 299
10 6 262
10 6 259
10 6 589
10 6 309
10 6 266
10 6 342
10 6 207
10 8 3699
10 8 2266
10 8 1580
10 8 2560
10 8 1247
10 8 5002
10 8 2883
10 8 1324
10 8 1299
10 8 1730
10 10 3939
10 10 2480
10 10 1638
10 10 2305
10 10 1488
10 10 4145
10 10 3124
10 10 1489
10 10 1634
10 10 1127
15 1 4308
15 1 2026
15 1 1131
15 1 1320
15 1 998
15 1 3259
15 1 2089
15 1 1587
15 1 1219
15 1 982
15 2 3599
15 2 2417
15 2 1821
15 2 1150
15 2 1077
15 2 2871
15 2 1440
15 2 1254
15 2 924
15 2 941
15 4 2250
15 4 1128
15 4 1726
15 4 1779
15 4 1405
15 4 3738
15 4 2116
15 4 1227
15 4 1286
15 4 1065
15 5 3537
15 5 1652
15 5 1002
15 5 1669
15 5 1307
15 5 3742
15 5 1755
15 5 1577
15 5 937
15 5 956
15 6 3080
15 6 1641
15 6 1854
15 6 1079
15 6 974
15 6 1792
15 6 1372
15 6 892
15 6 1181
15 6 892
15 8 3167
15 8 1696
15 8 957
15 8 1360
15 8 1046
15 8 3412
15 8 2055
15 8 1411
15 8 1162
15 8 1058
